transaction_id,transaction_date,customer_id,product_id,channel_id,region,segment,sales_amount,estimated_revenue,sales_stage,is_new_customer_sale,source_system
TXN0000104,2026-06-08,CUST00012,P003,C005,Southeast,Emerging Affluent,14321.97,458.3,Funded,False,crm
TXN0000105,2025-12-31,CUST00049,P001,C004,West,Emerging Affluent,20750.17,124.5,Application Started,True,loan_origination
TXN0000106,2026-08-08,CUST00416,P003,C001,West,Digital Native,17809.17,569.89,Funded,False,marcus_web
TXN0000107,2025-06-27,CUST00371,P003,C004,Southwest,Emerging Affluent,3661.69,117.17,Approved,False,marcus_web
TXN0000108,2026-08-14,CUST00305,P003,C001,Midwest,Borrower,15299.81,489.59,Funded,False,loan_origination
TXN0000109,2025-05-04,CUST00179,P004,C004,Southwest,Rate Shopper,25774.4,206.2,Funded,False,marcus_web
TXN0000110,2025-11-09,CUST00325,P004,C001,Northeast,Borrower,17969.85,143.76,Funded,False,crm
TXN0000111,2025-06-06,CUST00168,P005,C002,Southeast,Borrower,4925.72,201.95,Funded,False,marcus_web
TXN0000112,2026-02-08,CUST00114,P004,C003,Southeast,Emerging Affluent,25897.85,207.18,Funded,False,campaign_platform
TXN0000113,2026-02-13,CUST00293,P001,C005,Southeast,Rate Shopper,17499.28,105.0,Funded,False,crm
TXN0000114,2026-05-15,CUST00247,P005,C002,Southwest,Borrower,4325.83,177.36,Funded,False,crm
TXN0000115,2026-03-17,CUST00125,P001,C003,Midwest,Borrower,11632.02,69.79,Funded,False,campaign_platform
TXN0000116,2025-11-25,CUST00188,P003,C002,Midwest,Mass Affluent,24821.09,794.27,Funded,False,loan_origination
TXN0000117,2026-03-29,CUST00087,P003,C005,Southwest,Borrower,10588.93,338.85,Abandoned,True,loan_origination
TXN0000118,2025-02-25,CUST00080,P001,C001,Midwest,Digital Native,13254.53,79.53,Funded,False,crm
TXN0000119,2025-12-18,CUST00445,P003,C001,Northeast,Digital Native,13647.44,436.72,Funded,True,crm
TXN0000120,2025-07-28,CUST00379,P005,C002,West,Emerging Affluent,2689.55,110.27,Funded,False,campaign_platform
TXN0000121,2026-01-21,CUST00319,P002,C001,Southeast,Borrower,14906.4,59.63,Funded,True,loan_origination
TXN0000122,2025-02-24,CUST00103,P005,C003,West,Digital Native,2376.41,97.43,Funded,False,marcus_web
TXN0000123,2025-04-21,CUST00199,P003,C003,Southeast,Rate Shopper,24628.67,788.12,Funded,True,campaign_platform
TXN0000124,2026-05-12,CUST00261,P001,C003,Midwest,Emerging Affluent,19514.48,117.09,Application Started,False,crm
TXN0000125,2026-07-29,CUST00102,P005,C004,Northeast,Emerging Affluent,3408.9,139.76,Funded,False,loan_origination
TXN0000126,2025-01-19,CUST00251,P004,C002,Northeast,Emerging Affluent,21283.52,170.27,Funded,False,loan_origination
TXN0000127,2025-03-05,CUST00121,P005,C003,Southeast,Emerging Affluent,1581.49,64.84,Application Started,False,marcus_web
TXN0000128,2025-08-19,CUST00484,P005,C003,West,Mass Affluent,1565.3,64.18,Funded,False,crm
TXN0000129,2026-09-20,CUST00045,P004,C005,Midwest,Digital Native,30172.63,241.38,Funded,False,campaign_platform
TXN0000130,2025-12-04,CUST00497,P003,C005,Southwest,Borrower,8955.62,286.58,Funded,True,crm
TXN0000131,2025-05-22,CUST00298,P005,C002,West,Mass Affluent,2565.89,105.2,Funded,True,crm
TXN0000132,2025-11-22,CUST00336,P005,C002,Southeast,Borrower,4831.49,198.09,Funded,False,marcus_web
TXN0000133,2025-01-31,CUST00095,P003,C002,West,Mass Affluent,15512.2,496.39,Funded,False,campaign_platform
TXN0000134,2025-07-12,CUST00382,P003,C002,Southeast,Emerging Affluent,4095.7,131.06,Funded,True,loan_origination
TXN0000135,2025-08-25,CUST00311,P005,C005,West,Rate Shopper,2532.67,103.84,Funded,True,campaign_platform
TXN0000136,2026-04-26,CUST00069,P005,C005,Southwest,Mass Affluent,2738.09,112.26,Approved,False,campaign_platform
TXN0000137,2025-06-17,CUST00252,P004,C002,Southwest,Borrower,22687.88,181.5,Approved,True,loan_origination
TXN0000138,2025-07-27,CUST00487,P004,C002,West,Emerging Affluent,23847.04,190.78,Approved,True,campaign_platform
TXN0000139,2025-11-29,CUST00444,P005,C004,Northeast,Mass Affluent,4768.03,195.49,Funded,False,campaign_platform
TXN0000140,2026-09-19,CUST00369,P003,C004,Southeast,Digital Native,6619.73,211.83,Abandoned,False,marcus_web
TXN0000141,2026-04-13,CUST00267,P001,C004,West,Borrower,18862.89,113.18,Abandoned,False,campaign_platform
TXN0000142,2026-02-01,CUST00377,P001,C005,Northeast,Mass Affluent,16358.08,98.15,Funded,False,marcus_web
TXN0000143,2026-02-12,CUST00098,P003,C004,Southwest,Mass Affluent,21040.35,673.29,Funded,True,loan_origination
TXN0000144,2025-05-26,CUST00314,P001,C005,West,Rate Shopper,10787.29,64.72,Funded,False,marcus_web
TXN0000145,2025-07-04,CUST00370,P005,C001,Southwest,Rate Shopper,3674.0,150.63,Funded,True,campaign_platform
TXN0000146,2025-07-03,CUST00166,P004,C001,Southwest,Digital Native,4144.87,33.16,Funded,False,crm
TXN0000147,2025-09-14,CUST00452,P004,C001,West,Emerging Affluent,17002.21,136.02,Approved,True,marcus_web
TXN0000148,2026-01-07,CUST00047,P001,C004,West,Digital Native,26141.98,156.85,Funded,False,crm
TXN0000149,2025-02-14,CUST00194,P005,C004,Northeast,Emerging Affluent,3482.86,142.8,Funded,False,crm
TXN0000150,2025-02-22,CUST00084,P002,C002,Southeast,Rate Shopper,6290.03,25.16,Funded,False,campaign_platform
TXN0000151,2025-05-15,CUST00148,P002,C001,Southeast,Borrower,27770.61,111.08,Approved,True,campaign_platform
TXN0000152,2025-01-06,CUST00438,P004,C005,Midwest,Rate Shopper,21840.6,174.72,Funded,False,crm
TXN0000153,2026-02-24,CUST00302,P004,C004,Northeast,Emerging Affluent,12247.57,97.98,Funded,False,loan_origination
TXN0000154,2025-02-20,CUST00318,P005,C002,Midwest,Mass Affluent,3742.39,153.44,Funded,True,loan_origination
TXN0000155,2026-08-15,CUST00019,P002,C001,Southeast,Emerging Affluent,31179.19,124.72,Abandoned,True,campaign_platform
TXN0000156,2026-09-18,CUST00092,P002,C003,Midwest,Emerging Affluent,20229.4,80.92,Funded,False,crm
TXN0000157,2026-01-04,CUST00495,P004,C005,Southwest,Digital Native,25093.94,200.75,Funded,False,campaign_platform
TXN0000158,2026-07-18,CUST00420,P001,C004,Southeast,Mass Affluent,16837.44,101.02,Funded,False,marcus_web
TXN0000159,2026-06-24,CUST00356,P003,C003,Northeast,Emerging Affluent,11515.84,368.51,Funded,True,marcus_web
TXN0000160,2026-03-14,CUST00248,P005,C003,Southeast,Borrower,3596.45,147.45,Funded,False,loan_origination
TXN0000161,2026-07-31,CUST00475,P002,C005,Southeast,Emerging Affluent,11729.26,46.92,Funded,False,crm
TXN0000162,2025-01-02,CUST00363,P003,C002,Midwest,Rate Shopper,14685.69,469.94,Funded,False,marcus_web
TXN0000163,2026-03-01,CUST00378,P002,C005,West,Emerging Affluent,19695.22,78.78,Funded,False,marcus_web
TXN0000164,2025-09-18,CUST00328,P002,C003,Southeast,Digital Native,31379.65,125.52,Approved,False,loan_origination
TXN0000165,2025-12-08,CUST00393,P001,C001,West,Rate Shopper,12507.49,75.04,Funded,True,crm
TXN0000166,2026-05-06,CUST00100,P003,C003,Southwest,Mass Affluent,21341.85,682.94,Application Started,False,crm
TXN0000167,2026-07-04,CUST00247,P002,C004,Southwest,Borrower,35357.54,141.43,Approved,False,marcus_web
TXN0000168,2026-08-02,CUST00428,P005,C003,Midwest,Mass Affluent,2440.89,100.08,Approved,False,marcus_web
TXN0000169,2025-12-29,CUST00107,P005,C003,West,Rate Shopper,3782.6,155.09,Application Started,False,campaign_platform
TXN0000170,2026-08-08,CUST00321,P005,C002,Midwest,Borrower,3457.4,141.75,Funded,True,marcus_web
TXN0000171,2025-02-02,CUST00443,P003,C003,Northeast,Mass Affluent,14208.77,454.68,Application Started,False,loan_origination
TXN0000172,2025-06-29,CUST00111,P005,C003,West,Mass Affluent,3672.93,150.59,Funded,False,crm
TXN0000173,2026-06-03,CUST00468,P001,C004,Northeast,Borrower,25144.41,150.87,Funded,True,campaign_platform
TXN0000174,2025-12-02,CUST00376,P005,C003,West,Mass Affluent,3400.63,139.43,Funded,False,crm
TXN0000175,2026-02-01,CUST00106,P001,C004,Midwest,Digital Native,16267.32,97.6,Funded,False,marcus_web
TXN0000176,2025-04-16,CUST00171,P004,C001,Southeast,Emerging Affluent,12882.43,103.06,Funded,False,loan_origination
TXN0000177,2025-08-03,CUST00012,P005,C003,Southeast,Emerging Affluent,2884.46,118.26,Funded,False,campaign_platform
TXN0000178,2025-06-02,CUST00344,P001,C003,Midwest,Emerging Affluent,21718.4,130.31,Funded,True,marcus_web
TXN0000179,2026-07-17,CUST00106,P005,C003,Midwest,Digital Native,2941.86,120.62,Approved,False,crm
TXN0000180,2026-09-20,CUST00088,P001,C003,Southwest,Digital Native,21163.51,126.98,Application Started,False,marcus_web
TXN0000181,2025-02-21,CUST00067,P001,C004,Midwest,Rate Shopper,19648.02,117.89,Funded,True,campaign_platform
TXN0000182,2025-12-07,CUST00316,P003,C003,Southeast,Rate Shopper,15542.21,497.35,Approved,False,marcus_web
TXN0000183,2025-05-15,CUST00499,P004,C005,West,Mass Affluent,33568.85,268.55,Funded,True,loan_origination
TXN0000184,2025-08-26,CUST00351,P004,C004,Northeast,Emerging Affluent,29642.69,237.14,Abandoned,True,loan_origination
TXN0000185,2025-07-07,CUST00468,P003,C004,Northeast,Borrower,12162.79,389.21,Approved,False,campaign_platform
TXN0000186,2026-05-02,CUST00250,P001,C001,Midwest,Rate Shopper,9143.54,54.86,Funded,False,crm
TXN0000187,2026-08-12,CUST00145,P003,C005,Northeast,Emerging Affluent,16147.28,516.71,Approved,False,loan_origination
TXN0000188,2026-06-30,CUST00285,P001,C003,Southwest,Digital Native,20107.36,120.64,Funded,False,crm
TXN0000189,2025-06-12,CUST00318,P002,C005,Midwest,Mass Affluent,36174.75,144.7,Funded,False,campaign_platform
TXN0000190,2025-12-17,CUST00402,P004,C005,Midwest,Borrower,20762.54,166.1,Funded,True,marcus_web
TXN0000191,2025-04-28,CUST00379,P005,C004,West,Emerging Affluent,2154.82,88.35,Funded,False,crm
TXN0000192,2026-09-05,CUST00158,P004,C001,Midwest,Emerging Affluent,17301.66,138.41,Funded,False,campaign_platform
TXN0000193,2025-04-03,CUST00168,P004,C001,Southeast,Borrower,22851.11,182.81,Funded,False,marcus_web
TXN0000194,2026-04-09,CUST00388,P002,C002,Midwest,Mass Affluent,32061.8,128.25,Funded,False,campaign_platform
TXN0000195,2025-11-03,CUST00101,P002,C003,Northeast,Mass Affluent,8110.31,32.44,Funded,False,campaign_platform
TXN0000196,2026-08-20,CUST00368,P003,C001,Southwest,Rate Shopper,9704.84,310.55,Funded,False,campaign_platform
TXN0000197,2025-03-05,CUST00434,P002,C003,Southeast,Emerging Affluent,18880.18,75.52,Funded,False,loan_origination
TXN0000198,2025-08-29,CUST00057,P003,C001,Southeast,Mass Affluent,19189.29,614.06,Funded,False,loan_origination
TXN0000199,2026-01-26,CUST00365,P004,C004,Northeast,Mass Affluent,17129.53,137.04,Funded,True,campaign_platform
TXN0000200,2025-06-07,CUST00432,P003,C004,West,Borrower,15884.58,508.31,Funded,False,crm
TXN0000201,2025-01-17,CUST00069,P001,C001,Southwest,Mass Affluent,26094.18,156.57,Funded,False,crm
TXN0000202,2026-04-12,CUST00044,P002,C004,Midwest,Emerging Affluent,42450.17,169.8,Application Started,False,campaign_platform
TXN0000203,2026-06-06,CUST00320,P002,C004,Northeast,Borrower,11448.97,45.8,Funded,True,campaign_platform
TXN0000204,2026-05-26,CUST00310,P001,C005,Midwest,Mass Affluent,23354.45,140.13,Application Started,True,loan_origination
TXN0000205,2026-01-11,CUST00211,P005,C005,West,Mass Affluent,3504.34,143.68,Funded,False,campaign_platform
TXN0000206,2026-06-24,CUST00493,P001,C002,Southeast,Borrower,18365.32,110.19,Abandoned,False,loan_origination
TXN0000207,2026-06-20,CUST00239,P005,C001,Northeast,Emerging Affluent,3571.23,146.42,Funded,False,marcus_web
TXN0000208,2025-11-16,CUST00351,P005,C005,Northeast,Emerging Affluent,2892.56,118.59,Funded,False,marcus_web
TXN0000209,2026-04-26,CUST00241,P004,C005,Southeast,Mass Affluent,15822.31,126.58,Funded,False,loan_origination
TXN0000210,2026-09-04,CUST00149,P002,C001,Southwest,Digital Native,23198.81,92.8,Approved,False,loan_origination
TXN0000211,2025-06-23,CUST00032,P004,C005,Southwest,Mass Affluent,11904.98,95.24,Funded,False,marcus_web
TXN0000212,2025-05-10,CUST00147,P004,C001,Southwest,Digital Native,17026.15,136.21,Funded,False,loan_origination
TXN0000213,2025-10-15,CUST00130,P002,C005,Northeast,Emerging Affluent,25850.84,103.4,Approved,False,crm
TXN0000214,2025-06-29,CUST00338,P004,C003,Southwest,Borrower,27860.16,222.88,Funded,False,campaign_platform
TXN0000215,2025-12-18,CUST00093,P005,C001,Southwest,Digital Native,6115.28,250.73,Funded,False,campaign_platform
TXN0000216,2025-09-01,CUST00386,P004,C004,Southeast,Rate Shopper,19987.4,159.9,Funded,False,crm
TXN0000217,2025-02-25,CUST00108,P005,C003,Southwest,Emerging Affluent,2022.48,82.92,Funded,True,campaign_platform
TXN0000218,2026-06-30,CUST00244,P003,C004,West,Rate Shopper,7860.48,251.54,Funded,False,campaign_platform
TXN0000219,2026-06-28,CUST00243,P003,C002,Southwest,Borrower,15037.72,481.21,Abandoned,False,loan_origination
TXN0000220,2025-04-10,CUST00493,P005,C001,Southeast,Borrower,3074.07,126.04,Application Started,False,campaign_platform
TXN0000221,2025-10-04,CUST00313,P003,C003,West,Mass Affluent,14252.63,456.08,Funded,False,crm
TXN0000222,2026-06-17,CUST00376,P005,C002,West,Mass Affluent,3706.51,151.97,Funded,False,crm
TXN0000223,2025-01-09,CUST00161,P005,C001,Southwest,Mass Affluent,3285.32,134.7,Funded,True,campaign_platform
TXN0000224,2025-09-15,CUST00180,P002,C003,West,Borrower,25722.88,102.89,Funded,True,marcus_web
TXN0000225,2026-09-06,CUST00030,P005,C002,West,Borrower,2063.46,84.6,Funded,False,crm
TXN0000226,2025-04-24,CUST00193,P005,C002,West,Rate Shopper,1859.38,76.23,Funded,True,campaign_platform
TXN0000227,2025-10-11,CUST00339,P001,C004,Southwest,Digital Native,19173.52,115.04,Funded,False,loan_origination
TXN0000228,2025-03-05,CUST00083,P001,C003,Midwest,Mass Affluent,8399.88,50.4,Funded,False,marcus_web
TXN0000229,2026-03-28,CUST00133,P003,C002,Midwest,Emerging Affluent,27320.31,874.25,Funded,False,campaign_platform
TXN0000230,2026-03-18,CUST00056,P002,C005,Northeast,Mass Affluent,38123.45,152.49,Funded,False,campaign_platform
TXN0000231,2025-02-05,CUST00367,P003,C001,Southeast,Mass Affluent,20424.42,653.58,Funded,False,campaign_platform
TXN0000232,2026-02-04,CUST00077,P001,C001,West,Digital Native,21626.98,129.76,Funded,False,campaign_platform
TXN0000233,2026-05-18,CUST00295,P001,C005,Northeast,Rate Shopper,11651.87,69.91,Approved,False,marcus_web
TXN0000234,2026-01-29,CUST00277,P002,C001,Southwest,Digital Native,28316.2,113.26,Abandoned,False,campaign_platform
TXN0000235,2026-01-03,CUST00063,P005,C005,Southwest,Rate Shopper,2723.8,111.68,Funded,False,marcus_web
TXN0000236,2025-03-24,CUST00188,P005,C003,Midwest,Mass Affluent,4023.54,164.97,Application Started,False,loan_origination
TXN0000237,2026-07-22,CUST00332,P002,C002,Southwest,Mass Affluent,36022.31,144.09,Funded,False,marcus_web
TXN0000238,2025-03-28,CUST00323,P003,C004,Midwest,Rate Shopper,15722.39,503.12,Application Started,False,crm
