event_id,event_timestamp,customer_id,product_id,event_type,device_type,session_minutes,referrer
EVT0000032,2026-05-14T14:44:00,CUST00440,P001,rate_check,Mobile,8,Email
EVT0000033,2026-08-31T15:29:00,CUST00108,P003,page_view,Desktop,4,Direct
EVT0000034,2025-09-16T15:29:00,CUST00064,P003,rate_check,Mobile,17,Search
EVT0000035,2025-09-26T19:34:00,CUST00340,P001,application_start,Desktop,12,Email
EVT0000036,2026-04-25T16:21:00,CUST00483,P003,application_start,Mobile,7,Search
EVT0000037,2026-05-15T12:06:00,CUST00176,P003,application_start,Tablet,22,Email
EVT0000038,2026-09-27T18:20:00,CUST00240,P002,rate_check,Desktop,10,Social
EVT0000039,2025-12-24T16:01:00,CUST00188,P003,document_upload,Mobile,32,Social
EVT0000040,2026-01-06T22:32:00,CUST00155,P004,page_view,Tablet,27,Partner
EVT0000041,2026-06-28T20:58:00,CUST00023,P002,calculator_use,Tablet,8,Search
EVT0000042,2025-09-02T11:47:00,CUST00211,P002,calculator_use,Mobile,1,Email
EVT0000043,2025-04-15T12:25:00,CUST00010,P004,document_upload,Mobile,7,Email
EVT0000044,2026-08-28T15:46:00,CUST00374,P004,rate_check,Mobile,8,Social
EVT0000045,2026-08-09T13:02:00,CUST00179,P003,document_upload,Tablet,14,Partner
EVT0000046,2026-01-17T19:49:00,CUST00481,P003,application_start,Desktop,8,Partner
EVT0000047,2026-09-16T21:24:00,CUST00014,P002,page_view,Desktop,5,Partner
EVT0000048,2025-02-01T18:54:00,CUST00179,P005,page_view,Desktop,29,Direct
EVT0000049,2026-04-17T17:50:00,CUST00482,P004,calculator_use,Tablet,3,Partner
EVT0000050,2026-09-04T10:33:00,CUST00279,P004,calculator_use,Mobile,7,Partner
EVT0000051,2025-04-23T19:51:00,CUST00463,P002,calculator_use,Tablet,16,Social
EVT0000052,2026-03-11T15:25:00,CUST00395,P005,rate_check,Mobile,13,Partner
EVT0000053,2026-01-12T22:43:00,CUST00250,P002,calculator_use,Tablet,34,Social
EVT0000054,2026-05-16T08:29:00,CUST00209,P001,rate_check,Desktop,35,Social
EVT0000055,2025-03-29T11:14:00,CUST00110,P003,calculator_use,Desktop,13,Social
EVT0000056,2025-10-06T11:03:00,CUST00004,P001,document_upload,Mobile,20,Search
EVT0000057,2026-09-22T11:27:00,CUST00253,P003,application_start,Tablet,15,Email
EVT0000058,2026-02-28T15:49:00,CUST00246,P005,page_view,Tablet,18,Social
EVT0000059,2025-07-20T19:49:00,CUST00494,P001,page_view,Tablet,4,Partner
EVT0000060,2026-01-08T20:40:00,CUST00345,P002,application_start,Mobile,36,Search
EVT0000061,2026-06-10T10:54:00,CUST00200,P001,calculator_use,Desktop,27,Search
EVT0000062,2026-08-29T12:45:00,CUST00460,P004,page_view,Desktop,33,Social
EVT0000063,2026-08-21T09:05:00,CUST00200,P004,rate_check,Tablet,9,Search
EVT0000064,2025-03-19T12:40:00,CUST00408,P002,rate_check,Mobile,11,Partner
EVT0000065,2026-08-23T15:50:00,CUST00043,P001,document_upload,Tablet,10,Email
EVT0000066,2025-11-10T14:48:00,CUST00415,P005,calculator_use,Mobile,17,Email
EVT0000067,2025-08-08T10:23:00,CUST00194,P003,calculator_use,Mobile,19,Direct
EVT0000068,2025-04-10T20:49:00,CUST00057,P005,document_upload,Tablet,22,Direct
EVT0000069,2026-04-06T11:32:00,CUST00110,P004,page_view,Tablet,22,Search
EVT0000070,2026-07-20T21:41:00,CUST00030,P002,document_upload,Desktop,14,Partner
EVT0000071,2026-06-10T12:49:00,CUST00429,P004,page_view,Tablet,18,Partner
EVT0000072,2025-09-24T14:42:00,CUST00481,P001,rate_check,Desktop,2,Direct
EVT0000073,2025-09-07T11:15:00,CUST00134,P005,calculator_use,Mobile,4,Direct
EVT0000074,2026-03-30T10:34:00,CUST00057,P002,rate_check,Mobile,1,Search
EVT0000075,2026-05-09T22:49:00,CUST00001,P005,application_start,Mobile,30,Partner
EVT0000076,2025-01-11T14:42:00,CUST00024,P005,application_start,Mobile,7,Social
EVT0000077,2026-01-22T10:47:00,CUST00122,P004,document_upload,Mobile,1,Partner
EVT0000078,2025-03-09T18:26:00,CUST00216,P004,rate_check,Desktop,32,Search
EVT0000079,2026-07-13T16:54:00,CUST00022,P003,document_upload,Mobile,36,Direct
EVT0000080,2025-04-16T16:24:00,CUST00337,P003,document_upload,Desktop,3,Search
EVT0000081,2026-02-01T21:19:00,CUST00454,P002,calculator_use,Mobile,17,Social
EVT0000082,2025-11-02T09:37:00,CUST00220,P004,document_upload,Desktop,26,Direct
EVT0000083,2026-09-16T18:01:00,CUST00166,P002,application_start,Mobile,3,Social
EVT0000084,2025-01-16T11:19:00,CUST00369,P004,rate_check,Mobile,8,Social
EVT0000085,2025-05-07T16:04:00,CUST00231,P001,calculator_use,Tablet,7,Search
EVT0000086,2025-05-26T17:25:00,CUST00204,P005,application_start,Desktop,30,Email
EVT0000087,2025-12-07T22:15:00,CUST00090,P001,page_view,Tablet,16,Partner
EVT0000088,2025-12-16T10:25:00,CUST00374,P002,page_view,Desktop,12,Direct
EVT0000089,2025-01-26T16:45:00,CUST00217,P005,document_upload,Mobile,24,Email
EVT0000090,2025-05-25T21:53:00,CUST00264,P001,document_upload,Desktop,13,Email
EVT0000091,2026-05-31T21:19:00,CUST00280,P002,rate_check,Tablet,6,Direct
EVT0000092,2026-04-05T11:56:00,CUST00210,P003,calculator_use,Desktop,31,Email
EVT0000093,2026-01-22T17:13:00,CUST00174,P003,calculator_use,Desktop,2,Search
EVT0000094,2025-11-08T08:58:00,CUST00377,P001,page_view,Desktop,35,Search
EVT0000095,2026-08-09T13:23:00,CUST00097,P001,document_upload,Tablet,31,Social
EVT0000096,2025-08-14T13:51:00,CUST00297,P001,document_upload,Mobile,7,Partner
EVT0000097,2025-03-25T21:31:00,CUST00476,P004,page_view,Desktop,3,Email
EVT0000098,2026-04-08T22:03:00,CUST00211,P005,document_upload,Mobile,5,Search
EVT0000099,2025-01-05T13:05:00,CUST00130,P004,application_start,Mobile,35,Search
EVT0000100,2026-08-28T13:13:00,CUST00390,P005,rate_check,Mobile,25,Social
EVT0000101,2026-07-25T15:48:00,CUST00133,P001,application_start,Mobile,30,Partner
EVT0000102,2025-01-10T14:17:00,CUST00440,P001,rate_check,Mobile,21,Social
EVT0000103,2025-08-27T21:05:00,CUST00410,P004,application_start,Desktop,3,Search
EVT0000104,2025-09-28T17:50:00,CUST00116,P002,application_start,Tablet,29,Email
EVT0000105,2025-09-28T21:21:00,CUST00468,P004,page_view,Desktop,20,Social
EVT0000106,2025-02-14T17:19:00,CUST00144,P005,application_start,Tablet,14,Direct
EVT0000107,2025-12-19T14:01:00,CUST00278,P001,calculator_use,Mobile,11,Partner
EVT0000108,2026-09-01T20:54:00,CUST00027,P004,document_upload,Mobile,20,Partner
EVT0000109,2025-04-18T09:03:00,CUST00212,P001,application_start,Tablet,31,Partner
EVT0000110,2026-01-06T12:43:00,CUST00158,P004,calculator_use,Mobile,22,Partner
EVT0000111,2026-08-02T20:29:00,CUST00077,P005,rate_check,Desktop,25,Social
EVT0000112,2026-06-04T13:17:00,CUST00108,P003,page_view,Desktop,1,Social
EVT0000113,2026-01-25T16:54:00,CUST00260,P003,calculator_use,Tablet,27,Direct
EVT0000114,2026-01-24T19:37:00,CUST00432,P004,document_upload,Desktop,27,Direct
EVT0000115,2025-05-16T22:26:00,CUST00112,P005,document_upload,Mobile,3,Social
EVT0000116,2026-03-28T22:29:00,CUST00393,P004,application_start,Tablet,24,Partner
EVT0000117,2026-08-07T17:57:00,CUST00021,P002,application_start,Desktop,25,Search
EVT0000118,2026-08-27T10:56:00,CUST00255,P004,application_start,Desktop,6,Direct
EVT0000119,2025-09-02T13:07:00,CUST00485,P004,rate_check,Tablet,27,Search
EVT0000120,2026-02-21T16:57:00,CUST00096,P001,rate_check,Mobile,13,Search
EVT0000121,2025-09-05T08:50:00,CUST00119,P002,rate_check,Desktop,15,Email
EVT0000122,2025-01-24T20:25:00,CUST00144,P004,page_view,Mobile,17,Search
EVT0000123,2026-02-13T17:22:00,CUST00349,P001,rate_check,Desktop,22,Partner
EVT0000124,2025-11-27T20:08:00,CUST00276,P004,document_upload,Mobile,6,Search
EVT0000125,2025-09-06T15:45:00,CUST00259,P003,page_view,Desktop,25,Email
EVT0000126,2026-07-24T13:18:00,CUST00130,P005,document_upload,Mobile,22,Search
EVT0000127,2026-08-16T18:48:00,CUST00055,P001,document_upload,Desktop,17,Search
EVT0000128,2025-11-15T22:09:00,CUST00186,P003,document_upload,Desktop,21,Search
EVT0000129,2026-02-25T20:19:00,CUST00499,P004,rate_check,Mobile,22,Direct
EVT0000130,2026-03-11T16:33:00,CUST00246,P005,application_start,Tablet,26,Direct
EVT0000131,2025-02-13T11:46:00,CUST00348,P002,document_upload,Desktop,11,Direct
EVT0000132,2026-05-08T08:57:00,CUST00128,P001,page_view,Tablet,21,Social
EVT0000133,2025-08-02T17:49:00,CUST00206,P004,document_upload,Tablet,9,Social
EVT0000134,2026-08-03T16:49:00,CUST00416,P004,application_start,Desktop,34,Partner
EVT0000135,2025-09-15T20:10:00,CUST00104,P001,calculator_use,Tablet,24,Partner
EVT0000136,2025-04-26T15:58:00,CUST00089,P005,document_upload,Mobile,20,Email
EVT0000137,2025-01-09T11:12:00,CUST00059,P004,rate_check,Tablet,36,Social
EVT0000138,2025-01-05T08:20:00,CUST00004,P004,page_view,Tablet,3,Search
EVT0000139,2025-11-16T13:43:00,CUST00270,P004,page_view,Desktop,2,Search
EVT0000140,2025-01-04T09:46:00,CUST00349,P002,application_start,Mobile,20,Email
EVT0000141,2025-03-10T14:17:00,CUST00485,P003,document_upload,Mobile,9,Direct
EVT0000142,2026-02-20T14:08:00,CUST00029,P003,application_start,Mobile,2,Direct
EVT0000143,2026-02-20T18:43:00,CUST00183,P002,document_upload,Mobile,17,Email
EVT0000144,2025-08-24T21:46:00,CUST00088,P001,application_start,Desktop,31,Social
EVT0000145,2025-10-27T19:34:00,CUST00466,P003,rate_check,Desktop,1,Social
EVT0000146,2026-06-04T15:09:00,CUST00496,P003,rate_check,Tablet,36,Search
EVT0000147,2025-01-11T14:03:00,CUST00204,P005,page_view,Mobile,22,Partner
EVT0000148,2025-08-23T10:25:00,CUST00305,P002,application_start,Desktop,18,Social
EVT0000149,2025-04-13T17:40:00,CUST00176,P005,application_start,Desktop,7,Email
EVT0000150,2026-08-03T14:31:00,CUST00023,P001,document_upload,Mobile,9,Direct
EVT0000151,2025-12-25T09:36:00,CUST00317,P002,rate_check,Desktop,8,Social
EVT0000152,2025-12-28T10:15:00,CUST00080,P005,rate_check,Tablet,10,Social
EVT0000153,2025-10-03T17:41:00,CUST00231,P001,rate_check,Mobile,22,Social
EVT0000154,2025-04-16T13:34:00,CUST00083,P005,calculator_use,Mobile,8,Direct
EVT0000155,2026-09-11T18:28:00,CUST00220,P002,page_view,Mobile,11,Direct
EVT0000156,2025-12-09T21:59:00,CUST00463,P004,application_start,Mobile,8,Email
EVT0000157,2025-11-03T16:51:00,CUST00469,P002,application_start,Desktop,27,Search
EVT0000158,2025-12-21T17:05:00,CUST00198,P002,document_upload,Tablet,16,Direct
EVT0000159,2026-08-12T20:58:00,CUST00092,P003,application_start,Tablet,29,Search
EVT0000160,2026-04-18T15:10:00,CUST00389,P004,calculator_use,Mobile,13,Email
EVT0000161,2025-11-08T17:57:00,CUST00102,P003,application_start,Tablet,32,Search
EVT0000162,2026-01-06T15:07:00,CUST00310,P004,calculator_use,Mobile,20,Search
EVT0000163,2025-02-14T21:10:00,CUST00458,P005,document_upload,Tablet,4,Search
EVT0000164,2025-01-20T18:18:00,CUST00139,P005,rate_check,Mobile,31,Social
EVT0000165,2025-02-21T18:01:00,CUST00443,P004,page_view,Tablet,19,Direct
EVT0000166,2026-03-06T19:22:00,CUST00308,P001,application_start,Desktop,31,Partner
EVT0000167,2025-06-21T14:24:00,CUST00066,P003,rate_check,Desktop,24,Email
EVT0000168,2025-02-03T11:26:00,CUST00305,P002,document_upload,Desktop,4,Social
EVT0000169,2025-10-02T22:53:00,CUST00390,P001,page_view,Desktop,22,Search
EVT0000170,2025-04-22T19:07:00,CUST00239,P002,application_start,Desktop,12,Partner
EVT0000171,2025-09-22T15:55:00,CUST00160,P001,calculator_use,Mobile,1,Direct
EVT0000172,2026-06-19T12:08:00,CUST00325,P001,document_upload,Desktop,14,Email
EVT0000173,2025-10-07T15:51:00,CUST00313,P005,calculator_use,Desktop,11,Social
EVT0000174,2025-11-27T17:26:00,CUST00276,P002,application_start,Tablet,31,Partner
EVT0000175,2025-12-28T11:55:00,CUST00409,P001,document_upload,Desktop,11,Search
EVT0000176,2025-11-05T15:46:00,CUST00221,P002,rate_check,Mobile,21,Direct
EVT0000177,2025-05-27T17:36:00,CUST00022,P002,page_view,Tablet,3,Direct
EVT0000178,2026-04-10T14:04:00,CUST00222,P003,calculator_use,Mobile,10,Partner
EVT0000179,2025-09-13T21:47:00,CUST00258,P004,calculator_use,Mobile,17,Direct
EVT0000180,2025-06-30T18:15:00,CUST00366,P003,page_view,Mobile,32,Social
EVT0000181,2026-03-20T15:23:00,CUST00074,P001,calculator_use,Tablet,15,Social
EVT0000182,2025-08-25T18:36:00,CUST00101,P003,application_start,Tablet,2,Email
EVT0000183,2026-08-28T21:11:00,CUST00164,P002,calculator_use,Desktop,33,Partner
EVT0000184,2025-12-09T15:12:00,CUST00286,P002,rate_check,Tablet,7,Search
EVT0000185,2026-05-08T11:17:00,CUST00127,P001,calculator_use,Desktop,14,Direct
EVT0000186,2026-03-10T12:06:00,CUST00093,P002,rate_check,Desktop,19,Partner
EVT0000187,2025-01-23T18:36:00,CUST00478,P003,document_upload,Mobile,13,Partner
EVT0000188,2025-09-05T11:22:00,CUST00081,P001,page_view,Mobile,5,Partner
EVT0000189,2025-09-12T21:08:00,CUST00025,P002,calculator_use,Desktop,2,Partner
EVT0000190,2026-01-10T13:20:00,CUST00363,P001,document_upload,Mobile,4,Social
EVT0000191,2025-02-23T12:09:00,CUST00490,P003,rate_check,Tablet,20,Email
EVT0000192,2025-03-14T09:37:00,CUST00202,P003,document_upload,Desktop,24,Email
EVT0000193,2025-05-15T13:14:00,CUST00439,P001,document_upload,Desktop,32,Social
EVT0000194,2025-04-04T21:15:00,CUST00039,P005,calculator_use,Desktop,23,Search
EVT0000195,2026-09-18T12:59:00,CUST00374,P003,page_view,Tablet,31,Direct
EVT0000196,2025-11-18T13:31:00,CUST00171,P004,page_view,Mobile,28,Search
EVT0000197,2025-05-15T12:26:00,CUST00089,P005,rate_check,Desktop,28,Direct
EVT0000198,2025-05-18T21:54:00,CUST00382,P004,page_view,Tablet,35,Email
EVT0000199,2025-09-01T13:08:00,CUST00457,P004,page_view,Desktop,30,Partner
EVT0000200,2025-11-17T08:18:00,CUST00482,P001,rate_check,Desktop,21,Social
EVT0000201,2026-05-28T20:22:00,CUST00288,P004,application_start,Tablet,29,Partner
EVT0000202,2025-11-10T11:43:00,CUST00450,P001,rate_check,Tablet,28,Direct
EVT0000203,2025-02-13T19:48:00,CUST00468,P005,document_upload,Desktop,7,Direct
EVT0000204,2026-03-04T19:06:00,CUST00041,P003,page_view,Tablet,14,Social
EVT0000205,2026-06-10T16:32:00,CUST00077,P004,document_upload,Desktop,35,Social
EVT0000206,2025-10-15T20:57:00,CUST00107,P001,application_start,Tablet,8,Partner
EVT0000207,2026-07-23T16:07:00,CUST00481,P002,application_start,Tablet,31,Social
EVT0000208,2025-04-01T16:52:00,CUST00376,P003,calculator_use,Mobile,3,Email
EVT0000209,2026-08-29T14:21:00,CUST00322,P001,application_start,Tablet,35,Search
EVT0000210,2025-06-30T16:02:00,CUST00195,P004,page_view,Mobile,10,Partner
EVT0000211,2026-07-22T09:43:00,CUST00081,P001,calculator_use,Mobile,10,Search
EVT0000212,2025-12-27T14:18:00,CUST00235,P002,page_view,Mobile,34,Search
EVT0000213,2026-07-01T11:03:00,CUST00373,P001,application_start,Tablet,29,Social
EVT0000214,2026-08-22T18:36:00,CUST00390,P005,calculator_use,Desktop,17,Email
EVT0000215,2026-07-16T11:26:00,CUST00146,P005,application_start,Desktop,17,Partner
EVT0000216,2026-08-01T08:27:00,CUST00247,P003,application_start,Tablet,33,Partner
EVT0000217,2025-03-12T21:35:00,CUST00231,P003,calculator_use,Mobile,7,Direct
EVT0000218,2025-12-29T14:02:00,CUST00218,P003,calculator_use,Tablet,24,Partner
EVT0000219,2025-09-12T22:48:00,CUST00107,P003,page_view,Tablet,4,Partner
EVT0000220,2025-05-31T08:46:00,CUST00108,P005,page_view,Desktop,23,Social
EVT0000221,2026-03-15T13:48:00,CUST00428,P003,rate_check,Desktop,31,Partner
EVT0000222,2025-01-19T18:12:00,CUST00247,P002,page_view,Mobile,32,Social
EVT0000223,2026-08-30T20:10:00,CUST00247,P001,application_start,Desktop,24,Email
EVT0000224,2025-06-07T08:54:00,CUST00281,P004,page_view,Desktop,17,Direct
EVT0000225,2025-10-25T13:20:00,CUST00071,P003,page_view,Tablet,4,Email
EVT0000226,2025-02-02T16:47:00,CUST00152,P005,page_view,Tablet,36,Search
EVT0000227,2026-02-16T18:29:00,CUST00291,P004,rate_check,Tablet,33,Partner
EVT0000228,2026-01-22T09:25:00,CUST00070,P003,rate_check,Desktop,13,Email
EVT0000229,2025-08-14T20:42:00,CUST00128,P005,page_view,Desktop,2,Social
EVT0000230,2025-08-17T13:10:00,CUST00041,P003,document_upload,Mobile,15,Direct
EVT0000231,2025-04-19T15:36:00,CUST00252,P003,document_upload,Tablet,27,Email
EVT0000232,2026-02-01T10:32:00,CUST00139,P004,document_upload,Mobile,13,Email
EVT0000233,2026-09-13T20:24:00,CUST00052,P005,rate_check,Desktop,22,Search
EVT0000234,2026-02-18T08:00:00,CUST00232,P003,rate_check,Desktop,16,Direct
EVT0000235,2025-10-21T08:23:00,CUST00067,P002,application_start,Tablet,30,Partner
EVT0000236,2025-07-08T13:05:00,CUST00437,P001,calculator_use,Tablet,3,Email
EVT0000237,2025-06-19T20:55:00,CUST00053,P005,document_upload,Desktop,22,Direct
EVT0000238,2026-03-18T08:45:00,CUST00212,P004,document_upload,Desktop,12,Search
EVT0000239,2026-05-15T16:35:00,CUST00297,P002,calculator_use,Mobile,32,Social
EVT0000240,2026-07-25T14:51:00,CUST00018,P005,rate_check,Mobile,6,Email
EVT0000241,2026-02-05T17:20:00,CUST00072,P004,document_upload,Mobile,20,Email
EVT0000242,2025-05-29T10:51:00,CUST00080,P001,calculator_use,Tablet,36,Search
EVT0000243,2026-07-12T21:25:00,CUST00129,P005,rate_check,Tablet,5,Search
EVT0000244,2025-08-29T15:04:00,CUST00445,P004,calculator_use,Mobile,3,Search
EVT0000245,2025-04-23T22:34:00,CUST00483,P001,page_view,Tablet,10,Partner
EVT0000246,2026-08-25T20:07:00,CUST00348,P004,calculator_use,Desktop,16,Social
EVT0000247,2026-01-28T09:01:00,CUST00210,P001,calculator_use,Mobile,6,Social
EVT0000248,2025-04-15T21:37:00,CUST00291,P001,document_upload,Desktop,21,Partner
EVT0000249,2025-05-27T22:19:00,CUST00490,P005,application_start,Mobile,36,Social
EVT0000250,2025-10-24T09:02:00,CUST00343,P002,rate_check,Mobile,6,Email
EVT0000251,2025-03-13T16:06:00,CUST00048,P002,page_view,Tablet,7,Email
EVT0000252,2025-03-29T19:45:00,CUST00005,P003,rate_check,Desktop,21,Direct
EVT0000253,2025-01-03T12:19:00,CUST00228,P005,application_start,Desktop,33,Email
EVT0000254,2026-08-10T19:17:00,CUST00213,P001,page_view,Mobile,30,Direct
EVT0000255,2026-04-15T16:13:00,CUST00152,P005,page_view,Desktop,13,Direct
EVT0000256,2026-02-04T12:20:00,CUST00135,P003,application_start,Desktop,10,Partner
EVT0000257,2026-09-07T12:50:00,CUST00168,P004,page_view,Mobile,18,Direct
EVT0000258,2026-04-06T12:16:00,CUST00114,P002,document_upload,Tablet,34,Partner
EVT0000259,2025-08-24T11:38:00,CUST00002,P005,page_view,Tablet,15,Partner
EVT0000260,2025-10-23T09:11:00,CUST00383,P005,application_start,Mobile,5,Direct
EVT0000261,2025-01-18T11:10:00,CUST00427,P004,application_start,Mobile,23,Search
EVT0000262,2026-07-24T08:22:00,CUST00482,P001,application_start,Mobile,16,Direct
EVT0000263,2025-03-25T08:34:00,CUST00351,P001,document_upload,Mobile,22,Email
EVT0000264,2025-06-19T13:14:00,CUST00209,P001,application_start,Desktop,25,Email
EVT0000265,2025-10-15T15:18:00,CUST00011,P001,document_upload,Mobile,30,Social
EVT0000266,2026-01-23T20:40:00,CUST00154,P005,document_upload,Tablet,18,Social
EVT0000267,2025-03-13T15:00:00,CUST00130,P005,rate_check,Mobile,7,Direct
EVT0000268,2026-04-25T08:48:00,CUST00028,P004,page_view,Mobile,32,Search
EVT0000269,2025-11-17T17:58:00,CUST00335,P004,calculator_use,Tablet,13,Search
EVT0000270,2026-03-31T16:06:00,CUST00418,P001,page_view,Desktop,29,Direct
EVT0000271,2025-02-23T08:17:00,CUST00294,P004,document_upload,Desktop,11,Direct
EVT0000272,2025-10-28T09:51:00,CUST00138,P003,calculator_use,Mobile,28,Partner
EVT0000273,2025-08-26T11:42:00,CUST00144,P002,document_upload,Mobile,27,Email
EVT0000274,2025-08-23T17:06:00,CUST00192,P002,application_start,Tablet,2,Search
EVT0000275,2026-01-04T11:58:00,CUST00373,P002,page_view,Desktop,20,Social
EVT0000276,2026-08-21T10:24:00,CUST00356,P005,application_start,Mobile,14,Partner
EVT0000277,2026-09-21T15:41:00,CUST00368,P001,application_start,Desktop,7,Partner
EVT0000278,2025-11-07T20:27:00,CUST00111,P005,rate_check,Mobile,33,Partner
EVT0000279,2025-07-20T20:47:00,CUST00368,P002,document_upload,Mobile,34,Partner
EVT0000280,2025-09-07T21:39:00,CUST00440,P003,rate_check,Mobile,25,Social
EVT0000281,2025-09-25T19:05:00,CUST00233,P001,rate_check,Mobile,13,Direct
EVT0000282,2026-09-16T14:28:00,CUST00459,P004,page_view,Mobile,1,Email
EVT0000283,2025-04-14T15:55:00,CUST00187,P005,rate_check,Mobile,30,Social
EVT0000284,2025-05-05T14:08:00,CUST00065,P001,calculator_use,Desktop,26,Social
EVT0000285,2025-07-12T22:56:00,CUST00286,P005,calculator_use,Mobile,26,Email
EVT0000286,2026-08-30T16:44:00,CUST00206,P002,document_upload,Mobile,1,Direct
EVT0000287,2025-12-02T13:31:00,CUST00481,P003,page_view,Desktop,16,Email
EVT0000288,2026-05-02T19:53:00,CUST00339,P002,page_view,Tablet,35,Partner
EVT0000289,2025-06-04T13:20:00,CUST00204,P005,rate_check,Tablet,4,Email
EVT0000290,2025-06-27T14:03:00,CUST00013,P005,page_view,Desktop,6,Direct
EVT0000291,2025-03-27T21:20:00,CUST00342,P001,application_start,Desktop,27,Direct
EVT0000292,2026-04-16T11:35:00,CUST00434,P005,calculator_use,Mobile,33,Direct
EVT0000293,2025-08-25T08:03:00,CUST00072,P001,document_upload,Tablet,9,Search
EVT0000294,2026-01-20T21:36:00,CUST00272,P003,document_upload,Desktop,36,Partner
EVT0000295,2025-07-21T18:59:00,CUST00245,P002,rate_check,Desktop,4,Email
EVT0000296,2026-06-26T09:31:00,CUST00341,P003,application_start,Tablet,16,Partner
EVT0000297,2025-11-21T19:26:00,CUST00439,P003,page_view,Tablet,9,Search
EVT0000298,2026-07-15T10:56:00,CUST00037,P005,rate_check,Desktop,27,Search
EVT0000299,2026-06-23T19:25:00,CUST00385,P001,calculator_use,Desktop,31,Partner
EVT0000300,2025-01-30T10:12:00,CUST00033,P002,application_start,Mobile,8,Partner
EVT0000301,2026-03-10T16:12:00,CUST00312,P002,calculator_use,Tablet,5,Partner
EVT0000302,2026-03-21T12:00:00,CUST00434,P004,rate_check,Desktop,15,Social
EVT0000303,2026-08-09T19:14:00,CUST00342,P001,rate_check,Mobile,9,Social
EVT0000304,2026-04-11T22:06:00,CUST00077,P004,rate_check,Mobile,16,Partner
EVT0000305,2026-09-12T21:39:00,CUST00299,P003,document_upload,Mobile,11,Search
EVT0000306,2026-09-22T14:48:00,CUST00161,P002,calculator_use,Mobile,20,Social
EVT0000307,2026-03-16T20:45:00,CUST00143,P002,document_upload,Mobile,33,Direct
EVT0000308,2025-03-18T12:50:00,CUST00447,P001,rate_check,Desktop,3,Partner
EVT0000309,2026-09-12T19:33:00,CUST00132,P001,page_view,Mobile,36,Partner
EVT0000310,2025-12-08T13:44:00,CUST00246,P001,calculator_use,Tablet,4,Partner
EVT0000311,2026-05-09T16:30:00,CUST00358,P002,document_upload,Desktop,11,Email
EVT0000312,2025-06-05T08:45:00,CUST00296,P001,calculator_use,Mobile,16,Partner
EVT0000313,2026-02-27T10:56:00,CUST00087,P001,application_start,Mobile,2,Search
EVT0000314,2025-11-28T16:19:00,CUST00075,P002,page_view,Tablet,1,Search
