touch_id,touch_date,customer_id,campaign_id,campaign_name,target_product_family,channel,offer_variant,converted,attributed_transaction_id,attributed_revenue
TCH000085,2026-05-13,CUST00305,CMP003,Invest Starter,Wealth,Paid Search,Control,False,,0
TCH000086,2025-08-11,CUST00474,CMP005,CD Maturity Winback,Deposits,Contact Center,Rewards,False,,0
TCH000087,2026-07-09,CUST00430,CMP005,CD Maturity Winback,Deposits,Contact Center,Control,False,,0
TCH000088,2026-06-03,CUST00307,CMP003,Invest Starter,Wealth,Contact Center,Education,False,,0
TCH000089,2025-11-18,CUST00417,CMP003,Invest Starter,Wealth,Contact Center,Rate,True,TXN0000834,390.39
TCH000090,2026-03-03,CUST00422,CMP002,Debt Consolidation Loan,Lending,In App,Cash Bonus,False,,0
TCH000091,2025-05-15,CUST00066,CMP002,Debt Consolidation Loan,Lending,Contact Center,Cash Bonus,False,,0
TCH000092,2025-05-14,CUST00052,CMP004,Card Rewards Upgrade,Cards,Contact Center,Education,True,TXN0002075,101.51
TCH000093,2025-03-18,CUST00413,CMP005,CD Maturity Winback,Deposits,Email,Cash Bonus,False,,0
TCH000094,2026-07-30,CUST00148,CMP005,CD Maturity Winback,Deposits,Paid Search,Cash Bonus,False,,0
TCH000095,2025-03-16,CUST00003,CMP001,Savings Rate Booster,Deposits,In App,Rate,True,TXN0001318,141.49
TCH000096,2025-07-17,CUST00466,CMP002,Debt Consolidation Loan,Lending,Contact Center,Cash Bonus,False,,0
TCH000097,2025-06-26,CUST00154,CMP004,Card Rewards Upgrade,Cards,Paid Search,Cash Bonus,False,,0
TCH000098,2026-04-18,CUST00367,CMP004,Card Rewards Upgrade,Cards,In App,Control,False,,0
TCH000099,2026-05-29,CUST00397,CMP005,CD Maturity Winback,Deposits,Paid Search,Rate,False,,0
TCH000100,2026-07-14,CUST00270,CMP004,Card Rewards Upgrade,Cards,Email,Cash Bonus,False,,0
TCH000101,2025-10-25,CUST00498,CMP005,CD Maturity Winback,Deposits,Email,Rewards,True,TXN0001519,134.51
TCH000102,2025-07-24,CUST00375,CMP001,Savings Rate Booster,Deposits,Display,Education,False,,0
TCH000103,2025-11-10,CUST00206,CMP003,Invest Starter,Wealth,Contact Center,Education,False,,0
TCH000104,2025-10-05,CUST00498,CMP005,CD Maturity Winback,Deposits,Display,Education,False,,0
TCH000105,2026-03-31,CUST00352,CMP004,Card Rewards Upgrade,Cards,Contact Center,Rewards,False,,0
TCH000106,2026-07-09,CUST00453,CMP002,Debt Consolidation Loan,Lending,Email,Education,False,,0
TCH000107,2025-07-26,CUST00079,CMP004,Card Rewards Upgrade,Cards,Email,Control,False,,0
TCH000108,2026-08-11,CUST00031,CMP005,CD Maturity Winback,Deposits,In App,Control,False,,0
TCH000109,2025-05-16,CUST00206,CMP004,Card Rewards Upgrade,Cards,Display,Cash Bonus,True,TXN0001216,47.56
TCH000110,2026-04-06,CUST00376,CMP003,Invest Starter,Wealth,In App,Cash Bonus,False,,0
TCH000111,2026-06-20,CUST00256,CMP003,Invest Starter,Wealth,Display,Cash Bonus,False,,0
TCH000112,2026-05-21,CUST00455,CMP003,Invest Starter,Wealth,Paid Search,Cash Bonus,False,,0
TCH000113,2025-10-09,CUST00221,CMP004,Card Rewards Upgrade,Cards,In App,Education,True,TXN0000153,97.98
TCH000114,2026-06-18,CUST00173,CMP004,Card Rewards Upgrade,Cards,In App,Education,False,,0
TCH000115,2025-02-28,CUST00150,CMP002,Debt Consolidation Loan,Lending,In App,Rewards,False,,0
TCH000116,2025-11-29,CUST00131,CMP003,Invest Starter,Wealth,Display,Cash Bonus,True,TXN0000512,143.44
TCH000117,2026-06-09,CUST00036,CMP003,Invest Starter,Wealth,In App,Cash Bonus,False,,0
TCH000118,2025-07-26,CUST00074,CMP001,Savings Rate Booster,Deposits,Contact Center,Rewards,True,TXN0001181,422.54
TCH000119,2025-08-27,CUST00263,CMP001,Savings Rate Booster,Deposits,In App,Control,False,,0
TCH000120,2025-01-21,CUST00232,CMP001,Savings Rate Booster,Deposits,In App,Rate,False,,0
TCH000121,2026-09-30,CUST00452,CMP001,Savings Rate Booster,Deposits,Display,Rate,False,,0
TCH000122,2026-02-26,CUST00263,CMP002,Debt Consolidation Loan,Lending,Display,Control,True,TXN0000131,105.2
TCH000123,2026-07-02,CUST00314,CMP005,CD Maturity Winback,Deposits,Contact Center,Cash Bonus,False,,0
TCH000124,2025-10-03,CUST00109,CMP001,Savings Rate Booster,Deposits,Email,Education,False,,0
TCH000125,2025-03-09,CUST00327,CMP004,Card Rewards Upgrade,Cards,In App,Education,False,,0
TCH000126,2026-08-13,CUST00445,CMP004,Card Rewards Upgrade,Cards,Paid Search,Cash Bonus,False,,0
TCH000127,2026-07-23,CUST00079,CMP003,Invest Starter,Wealth,Paid Search,Cash Bonus,False,,0
TCH000128,2025-10-04,CUST00313,CMP004,Card Rewards Upgrade,Cards,Display,Cash Bonus,False,,0
TCH000129,2025-07-29,CUST00238,CMP001,Savings Rate Booster,Deposits,In App,Rewards,False,,0
TCH000130,2025-01-15,CUST00261,CMP003,Invest Starter,Wealth,In App,Rate,False,,0
TCH000131,2025-01-20,CUST00129,CMP005,CD Maturity Winback,Deposits,Contact Center,Education,False,,0
TCH000132,2026-03-19,CUST00072,CMP001,Savings Rate Booster,Deposits,Contact Center,Cash Bonus,True,TXN0002070,167.51
TCH000133,2025-02-15,CUST00076,CMP003,Invest Starter,Wealth,Email,Cash Bonus,False,,0
TCH000134,2025-05-24,CUST00308,CMP005,CD Maturity Winback,Deposits,Display,Education,False,,0
TCH000135,2025-07-15,CUST00240,CMP001,Savings Rate Booster,Deposits,Paid Search,Control,False,,0
TCH000136,2026-08-01,CUST00050,CMP002,Debt Consolidation Loan,Lending,In App,Rewards,False,,0
TCH000137,2026-03-24,CUST00273,CMP003,Invest Starter,Wealth,Contact Center,Cash Bonus,False,,0
TCH000138,2025-11-13,CUST00337,CMP001,Savings Rate Booster,Deposits,Display,Education,True,TXN0001239,124.21
TCH000139,2025-01-04,CUST00104,CMP002,Debt Consolidation Loan,Lending,Paid Search,Education,False,,0
TCH000140,2026-06-17,CUST00403,CMP003,Invest Starter,Wealth,Contact Center,Cash Bonus,False,,0
TCH000141,2026-03-07,CUST00293,CMP001,Savings Rate Booster,Deposits,Paid Search,Rate,True,TXN0001872,105.72
TCH000142,2026-01-05,CUST00016,CMP004,Card Rewards Upgrade,Cards,In App,Education,False,,0
TCH000143,2026-04-16,CUST00085,CMP003,Invest Starter,Wealth,In App,Cash Bonus,False,,0
TCH000144,2025-04-12,CUST00108,CMP005,CD Maturity Winback,Deposits,In App,Rate,False,,0
TCH000145,2026-02-17,CUST00197,CMP001,Savings Rate Booster,Deposits,Paid Search,Control,True,TXN0001714,107.08
TCH000146,2026-06-27,CUST00048,CMP003,Invest Starter,Wealth,Email,Rewards,False,,0
TCH000147,2025-06-03,CUST00257,CMP005,CD Maturity Winback,Deposits,Paid Search,Rewards,False,,0
TCH000148,2025-12-15,CUST00421,CMP003,Invest Starter,Wealth,In App,Education,False,,0
TCH000149,2025-01-24,CUST00304,CMP005,CD Maturity Winback,Deposits,Paid Search,Rate,False,,0
TCH000150,2025-05-28,CUST00236,CMP002,Debt Consolidation Loan,Lending,In App,Control,False,,0
TCH000151,2026-05-30,CUST00320,CMP004,Card Rewards Upgrade,Cards,Email,Rate,False,,0
TCH000152,2026-04-28,CUST00117,CMP002,Debt Consolidation Loan,Lending,Contact Center,Control,False,,0
TCH000153,2026-03-15,CUST00363,CMP001,Savings Rate Booster,Deposits,Display,Education,False,,0
TCH000154,2026-07-20,CUST00029,CMP004,Card Rewards Upgrade,Cards,In App,Rewards,False,,0
TCH000155,2025-09-23,CUST00166,CMP005,CD Maturity Winback,Deposits,In App,Rewards,True,TXN0002273,112.79
TCH000156,2025-11-18,CUST00161,CMP004,Card Rewards Upgrade,Cards,Email,Education,True,TXN0001526,490.01
TCH000157,2025-02-10,CUST00320,CMP005,CD Maturity Winback,Deposits,Paid Search,Rewards,False,,0
TCH000158,2025-12-28,CUST00034,CMP005,CD Maturity Winback,Deposits,Display,Rewards,False,,0
TCH000159,2026-07-26,CUST00030,CMP005,CD Maturity Winback,Deposits,Display,Education,False,,0
TCH000160,2026-02-04,CUST00391,CMP005,CD Maturity Winback,Deposits,Contact Center,Rate,True,TXN0002388,108.67
TCH000161,2026-07-18,CUST00135,CMP005,CD Maturity Winback,Deposits,In App,Rate,False,,0
TCH000162,2025-06-09,CUST00012,CMP005,CD Maturity Winback,Deposits,In App,Rewards,False,,0
TCH000163,2025-09-01,CUST00078,CMP001,Savings Rate Booster,Deposits,Email,Rate,False,,0
TCH000164,2026-09-10,CUST00480,CMP001,Savings Rate Booster,Deposits,Display,Control,True,TXN0002448,157.26
TCH000165,2026-07-14,CUST00450,CMP005,CD Maturity Winback,Deposits,Contact Center,Education,True,TXN0001647,142.36
TCH000166,2025-04-11,CUST00434,CMP004,Card Rewards Upgrade,Cards,Paid Search,Control,False,,0
TCH000167,2026-02-16,CUST00004,CMP004,Card Rewards Upgrade,Cards,Contact Center,Control,False,,0
TCH000168,2026-04-11,CUST00025,CMP001,Savings Rate Booster,Deposits,Paid Search,Rewards,False,,0
TCH000169,2026-07-23,CUST00302,CMP002,Debt Consolidation Loan,Lending,Contact Center,Rate,True,TXN0001611,19.5
TCH000170,2026-06-08,CUST00141,CMP002,Debt Consolidation Loan,Lending,In App,Cash Bonus,False,,0
TCH000171,2026-04-11,CUST00462,CMP005,CD Maturity Winback,Deposits,Paid Search,Cash Bonus,False,,0
TCH000172,2026-05-18,CUST00216,CMP001,Savings Rate Booster,Deposits,Contact Center,Education,False,,0
TCH000173,2026-06-16,CUST00442,CMP004,Card Rewards Upgrade,Cards,Paid Search,Rate,False,,0
TCH000174,2026-04-02,CUST00182,CMP003,Invest Starter,Wealth,In App,Rate,True,TXN0001423,156.79
TCH000175,2025-06-24,CUST00393,CMP001,Savings Rate Booster,Deposits,Paid Search,Control,False,,0
TCH000176,2025-12-15,CUST00169,CMP003,Invest Starter,Wealth,Display,Rewards,False,,0
TCH000177,2025-05-11,CUST00184,CMP001,Savings Rate Booster,Deposits,Contact Center,Rewards,False,,0
TCH000178,2025-08-16,CUST00309,CMP005,CD Maturity Winback,Deposits,Display,Cash Bonus,False,,0
TCH000179,2026-01-12,CUST00160,CMP001,Savings Rate Booster,Deposits,Contact Center,Rate,False,,0
TCH000180,2025-03-20,CUST00498,CMP001,Savings Rate Booster,Deposits,Display,Rewards,False,,0
TCH000181,2025-04-15,CUST00334,CMP001,Savings Rate Booster,Deposits,Paid Search,Cash Bonus,False,,0
TCH000182,2026-02-15,CUST00102,CMP001,Savings Rate Booster,Deposits,In App,Control,False,,0
TCH000183,2026-02-07,CUST00322,CMP003,Invest Starter,Wealth,Contact Center,Education,False,,0
TCH000184,2025-02-08,CUST00381,CMP001,Savings Rate Booster,Deposits,In App,Rewards,False,,0
TCH000185,2026-07-05,CUST00229,CMP005,CD Maturity Winback,Deposits,Paid Search,Cash Bonus,True,TXN0000419,483.38
TCH000186,2026-03-13,CUST00183,CMP003,Invest Starter,Wealth,Display,Rewards,False,,0
TCH000187,2025-10-28,CUST00295,CMP004,Card Rewards Upgrade,Cards,Paid Search,Rewards,True,TXN0002189,105.19
TCH000188,2025-11-02,CUST00489,CMP004,Card Rewards Upgrade,Cards,Email,Rewards,False,,0
TCH000189,2025-05-18,CUST00481,CMP002,Debt Consolidation Loan,Lending,In App,Rate,False,,0
TCH000190,2025-08-02,CUST00260,CMP004,Card Rewards Upgrade,Cards,Display,Education,False,,0
TCH000191,2026-04-09,CUST00188,CMP004,Card Rewards Upgrade,Cards,Paid Search,Education,False,,0
TCH000192,2026-03-26,CUST00340,CMP002,Debt Consolidation Loan,Lending,Contact Center,Rewards,False,,0
TCH000193,2025-08-02,CUST00397,CMP005,CD Maturity Winback,Deposits,Paid Search,Education,False,,0
TCH000194,2026-07-27,CUST00170,CMP001,Savings Rate Booster,Deposits,Display,Rate,False,,0
TCH000195,2025-06-29,CUST00117,CMP002,Debt Consolidation Loan,Lending,In App,Cash Bonus,False,,0
TCH000196,2025-12-22,CUST00282,CMP001,Savings Rate Booster,Deposits,Display,Education,False,,0
TCH000197,2026-03-20,CUST00299,CMP002,Debt Consolidation Loan,Lending,Email,Rewards,False,,0
TCH000198,2025-10-26,CUST00154,CMP002,Debt Consolidation Loan,Lending,In App,Cash Bonus,False,,0
TCH000199,2025-05-06,CUST00091,CMP004,Card Rewards Upgrade,Cards,Contact Center,Cash Bonus,False,,0
TCH000200,2025-03-26,CUST00146,CMP005,CD Maturity Winback,Deposits,In App,Cash Bonus,False,,0
TCH000201,2026-03-11,CUST00059,CMP005,CD Maturity Winback,Deposits,Display,Control,True,TXN0000008,106.63
TCH000202,2025-06-19,CUST00460,CMP002,Debt Consolidation Loan,Lending,Email,Rewards,True,TXN0001923,417.54
TCH000203,2025-03-15,CUST00283,CMP005,CD Maturity Winback,Deposits,Display,Control,False,,0
TCH000204,2025-11-04,CUST00404,CMP002,Debt Consolidation Loan,Lending,In App,Rewards,False,,0
TCH000205,2026-08-28,CUST00362,CMP001,Savings Rate Booster,Deposits,Contact Center,Rate,False,,0
TCH000206,2026-04-06,CUST00416,CMP004,Card Rewards Upgrade,Cards,Paid Search,Education,False,,0
TCH000207,2026-02-19,CUST00275,CMP002,Debt Consolidation Loan,Lending,Paid Search,Rate,False,,0
TCH000208,2025-06-05,CUST00416,CMP001,Savings Rate Booster,Deposits,Display,Control,False,,0
TCH000209,2026-08-23,CUST00372,CMP005,CD Maturity Winback,Deposits,Paid Search,Control,False,,0
TCH000210,2025-07-13,CUST00457,CMP005,CD Maturity Winback,Deposits,In App,Rewards,False,,0
TCH000211,2026-01-22,CUST00308,CMP001,Savings Rate Booster,Deposits,In App,Rewards,False,,0
TCH000212,2025-05-23,CUST00001,CMP001,Savings Rate Booster,Deposits,In App,Rate,False,,0
TCH000213,2025-02-02,CUST00090,CMP003,Invest Starter,Wealth,Paid Search,Rate,True,TXN0002446,79.92
TCH000214,2026-09-21,CUST00138,CMP002,Debt Consolidation Loan,Lending,Email,Control,False,,0
TCH000215,2026-03-25,CUST00372,CMP002,Debt Consolidation Loan,Lending,Contact Center,Rate,False,,0
TCH000216,2026-01-02,CUST00250,CMP004,Card Rewards Upgrade,Cards,Email,Control,False,,0
TCH000217,2026-04-09,CUST00443,CMP004,Card Rewards Upgrade,Cards,Display,Rate,False,,0
TCH000218,2026-02-18,CUST00142,CMP003,Invest Starter,Wealth,Email,Education,True,TXN0000861,226.54
TCH000219,2025-09-09,CUST00109,CMP002,Debt Consolidation Loan,Lending,Display,Control,False,,0
TCH000220,2026-02-09,CUST00156,CMP004,Card Rewards Upgrade,Cards,In App,Cash Bonus,False,,0
TCH000221,2026-01-21,CUST00445,CMP002,Debt Consolidation Loan,Lending,Email,Education,False,,0
TCH000222,2026-05-17,CUST00127,CMP004,Card Rewards Upgrade,Cards,In App,Rate,False,,0
TCH000223,2026-08-22,CUST00291,CMP001,Savings Rate Booster,Deposits,Display,Rewards,False,,0
TCH000224,2025-12-09,CUST00325,CMP005,CD Maturity Winback,Deposits,Paid Search,Rate,False,,0
TCH000225,2026-03-26,CUST00351,CMP004,Card Rewards Upgrade,Cards,Display,Control,False,,0
TCH000226,2025-02-16,CUST00312,CMP003,Invest Starter,Wealth,Contact Center,Cash Bonus,True,TXN0002468,506.61
TCH000227,2025-07-03,CUST00499,CMP001,Savings Rate Booster,Deposits,Display,Cash Bonus,False,,0
TCH000228,2025-08-02,CUST00374,CMP001,Savings Rate Booster,Deposits,Display,Cash Bonus,False,,0
TCH000229,2026-07-17,CUST00449,CMP003,Invest Starter,Wealth,Paid Search,Rate,False,,0
TCH000230,2026-07-03,CUST00467,CMP005,CD Maturity Winback,Deposits,Email,Cash Bonus,False,,0
TCH000231,2025-09-04,CUST00387,CMP004,Card Rewards Upgrade,Cards,Email,Cash Bonus,False,,0
TCH000232,2026-01-23,CUST00142,CMP003,Invest Starter,Wealth,Email,Cash Bonus,False,,0
TCH000233,2026-08-18,CUST00150,CMP004,Card Rewards Upgrade,Cards,Paid Search,Cash Bonus,False,,0
TCH000234,2025-09-24,CUST00059,CMP001,Savings Rate Booster,Deposits,Contact Center,Rewards,False,,0
TCH000235,2026-04-23,CUST00265,CMP005,CD Maturity Winback,Deposits,Display,Rate,False,,0
TCH000236,2025-01-09,CUST00069,CMP001,Savings Rate Booster,Deposits,Contact Center,Cash Bonus,False,,0
TCH000237,2026-03-28,CUST00125,CMP003,Invest Starter,Wealth,In App,Rewards,False,,0
TCH000238,2025-07-18,CUST00264,CMP001,Savings Rate Booster,Deposits,Display,Education,True,TXN0001539,119.71
TCH000239,2025-04-13,CUST00031,CMP001,Savings Rate Booster,Deposits,Contact Center,Rewards,False,,0
TCH000240,2025-11-16,CUST00044,CMP002,Debt Consolidation Loan,Lending,Display,Control,True,TXN0000244,57.5
TCH000241,2025-08-23,CUST00129,CMP001,Savings Rate Booster,Deposits,Contact Center,Rewards,False,,0
TCH000242,2025-04-17,CUST00324,CMP002,Debt Consolidation Loan,Lending,Email,Rewards,False,,0
TCH000243,2026-07-16,CUST00040,CMP005,CD Maturity Winback,Deposits,Email,Education,False,,0
TCH000244,2026-06-22,CUST00324,CMP004,Card Rewards Upgrade,Cards,Display,Rate,False,,0
TCH000245,2026-04-11,CUST00390,CMP003,Invest Starter,Wealth,In App,Education,False,,0
TCH000246,2026-03-15,CUST00074,CMP001,Savings Rate Booster,Deposits,Paid Search,Rate,False,,0
TCH000247,2025-09-27,CUST00191,CMP001,Savings Rate Booster,Deposits,Paid Search,Control,True,TXN0002142,31.26
TCH000248,2025-02-24,CUST00018,CMP004,Card Rewards Upgrade,Cards,Paid Search,Education,True,TXN0000158,101.02
TCH000249,2025-12-10,CUST00448,CMP004,Card Rewards Upgrade,Cards,Display,Control,False,,0
TCH000250,2025-05-22,CUST00469,CMP003,Invest Starter,Wealth,Email,Control,True,TXN0002137,99.42
TCH000251,2025-06-07,CUST00404,CMP003,Invest Starter,Wealth,In App,Control,True,TXN0001187,132.4
TCH000252,2025-03-19,CUST00162,CMP001,Savings Rate Booster,Deposits,Contact Center,Education,False,,0
TCH000253,2025-04-08,CUST00010,CMP002,Debt Consolidation Loan,Lending,In App,Rewards,False,,0
TCH000254,2026-06-16,CUST00106,CMP002,Debt Consolidation Loan,Lending,Paid Search,Cash Bonus,True,TXN0000399,185.14
