sales_month,channel_id,channel_name,channel_group,applications,funded_sales,sales_amount,estimated_revenue,conversion_rate
2025-03,C001,Web,Digital,25,14,296899.37,2195.29,0.56
2025-03,C005,Branch Partner,Partner,16,11,146831.49,2020.45,0.6875
2025-11,C003,Email,Digital Marketing,24,16,282262.33,3148.07,0.6667
2026-08,C002,Mobile App,Digital,34,28,604569.47,6624.12,0.8235
2025-12,C003,Email,Digital Marketing,22,15,224050.22,1857.18,0.6818
2025-01,C003,Email,Digital Marketing,27,19,325212.12,3511.9,0.7037
2026-07,C004,Contact Center,Assisted,24,16,259835.13,2714.86,0.6667
2026-09,C003,Email,Digital Marketing,18,15,325199.71,4082.32,0.8333
2026-03,C001,Web,Digital,21,15,235207.22,3766.66,0.7143
2025-07,C001,Web,Digital,23,14,211715.66,2311.52,0.6087
2025-01,C002,Mobile App,Digital,32,28,449178.53,6790.38,0.875
2026-04,C003,Email,Digital Marketing,27,16,293474.66,4278.26,0.5926
2025-03,C004,Contact Center,Assisted,23,15,198913.25,2960.57,0.6522
2026-07,C002,Mobile App,Digital,21,14,282213.51,2144.69,0.6667
2026-03,C004,Contact Center,Assisted,29,18,227357.05,2638.34,0.6207
2026-01,C005,Branch Partner,Partner,28,24,347753.71,4182.34,0.8571
2025-04,C002,Mobile App,Digital,24,18,344632.62,3054.53,0.75
2026-04,C001,Web,Digital,20,14,330081.94,1940.35,0.7
2026-09,C001,Web,Digital,14,10,180094.38,2002.76,0.7143
2025-04,C001,Web,Digital,29,18,352350.26,3259.88,0.6207
2025-11,C005,Branch Partner,Partner,21,14,293846.78,3180.46,0.6667
2026-02,C004,Contact Center,Assisted,29,23,332931.94,4599.12,0.7931
2026-06,C005,Branch Partner,Partner,24,15,247314.2,3416.87,0.625
2025-06,C004,Contact Center,Assisted,22,15,285687.85,3333.15,0.6818
2026-05,C002,Mobile App,Digital,14,11,209778.58,2989.78,0.7857
2025-11,C002,Mobile App,Digital,26,17,269873.83,3009.52,0.6538
2025-02,C001,Web,Digital,23,20,371163.33,4828.65,0.8696
2025-12,C001,Web,Digital,23,18,299255.81,4141.13,0.7826
2025-07,C002,Mobile App,Digital,34,25,349384.92,4351.52,0.7353
2026-01,C001,Web,Digital,27,19,270372.61,2727.3,0.7037
2025-02,C003,Email,Digital Marketing,19,17,302056.79,3832.73,0.8947
2025-04,C003,Email,Digital Marketing,27,19,333763.78,4426.45,0.7037
2025-03,C003,Email,Digital Marketing,22,13,168232.97,1976.84,0.5909
2026-09,C005,Branch Partner,Partner,30,26,516553.47,5492.03,0.8667
2025-05,C002,Mobile App,Digital,23,19,273120.38,2629.8,0.8261
2025-08,C005,Branch Partner,Partner,14,9,135031.71,1800.41,0.6429
2026-04,C005,Branch Partner,Partner,24,15,245796.16,3276.42,0.625
2026-09,C004,Contact Center,Assisted,17,10,110714.42,967.14,0.5882
2026-01,C004,Contact Center,Assisted,24,19,398939.58,4442.35,0.7917
2025-02,C004,Contact Center,Assisted,27,22,378774.69,2761.12,0.8148
2026-06,C003,Email,Digital Marketing,21,18,261091.92,2689.23,0.8571
2026-06,C004,Contact Center,Assisted,23,18,326848.63,3251.27,0.7826
2026-07,C003,Email,Digital Marketing,26,19,358745.72,4249.34,0.7308
2026-05,C001,Web,Digital,15,12,198771.5,2145.01,0.8
2025-01,C001,Web,Digital,25,13,166829.14,2089.99,0.52
2026-06,C002,Mobile App,Digital,28,16,301715.24,2483.62,0.5714
2026-06,C001,Web,Digital,20,16,301073.95,2211.47,0.8
2025-09,C004,Contact Center,Assisted,28,18,382917.3,4540.81,0.6429
2025-10,C003,Email,Digital Marketing,15,12,208046.54,2294.5,0.8
2026-09,C002,Mobile App,Digital,22,17,265890.5,2834.43,0.7727
2025-10,C004,Contact Center,Assisted,21,13,215145.3,2641.31,0.619
2025-01,C004,Contact Center,Assisted,31,24,434132.38,4512.09,0.7742
2025-07,C005,Branch Partner,Partner,28,17,259122.88,2669.96,0.6071
2026-07,C001,Web,Digital,27,21,401633.61,3898.96,0.7778
2025-05,C003,Email,Digital Marketing,21,16,254279.23,2943.35,0.7619
2025-12,C002,Mobile App,Digital,24,19,347027.23,4305.6,0.7917
2025-03,C002,Mobile App,Digital,22,19,367312.91,2522.85,0.8636
2026-01,C003,Email,Digital Marketing,18,11,198230.88,1314.18,0.6111
