campaign_month,campaign_id,campaign_name,channel,touches,conversions,attributed_revenue,conversion_rate,roi_index
2025-07,CMP005,CD Maturity Winback,In App,2,0,0.0,0.0,0.0
2026-01,CMP001,Savings Rate Booster,In App,1,0,0.0,0.0,0.0
2025-05,CMP001,Savings Rate Booster,In App,1,0,0.0,0.0,0.0
2025-02,CMP003,Invest Starter,Paid Search,4,3,405.33,0.75,13.51
2026-09,CMP002,Debt Consolidation Loan,Email,2,0,0.0,0.0,0.0
2026-04,CMP004,Card Rewards Upgrade,Display,1,0,0.0,0.0,0.0
2026-02,CMP003,Invest Starter,Email,3,2,274.49,0.6667,12.2
2025-09,CMP002,Debt Consolidation Loan,Display,1,0,0.0,0.0,0.0
2026-02,CMP004,Card Rewards Upgrade,In App,1,0,0.0,0.0,0.0
2026-01,CMP002,Debt Consolidation Loan,Email,1,0,0.0,0.0,0.0
2026-05,CMP004,Card Rewards Upgrade,In App,2,0,0.0,0.0,0.0
2026-08,CMP001,Savings Rate Booster,Display,3,1,114.13,0.3333,5.07
2025-12,CMP005,CD Maturity Winback,Paid Search,1,0,0.0,0.0,0.0
2026-03,CMP004,Card Rewards Upgrade,Display,3,0,0.0,0.0,0.0
2025-02,CMP003,Invest Starter,Contact Center,3,1,506.61,0.3333,22.52
2025-08,CMP001,Savings Rate Booster,Display,4,0,0.0,0.0,0.0
2026-07,CMP005,CD Maturity Winback,Email,3,0,0.0,0.0,0.0
2025-09,CMP004,Card Rewards Upgrade,Email,3,0,0.0,0.0,0.0
2026-01,CMP003,Invest Starter,Email,2,1,104.47,0.5,6.96
2025-09,CMP001,Savings Rate Booster,Contact Center,4,1,207.08,0.25,6.9
2026-04,CMP005,CD Maturity Winback,Display,2,0,0.0,0.0,0.0
2025-01,CMP001,Savings Rate Booster,Contact Center,3,1,73.65,0.3333,3.27
2026-03,CMP003,Invest Starter,In App,1,0,0.0,0.0,0.0
2025-04,CMP001,Savings Rate Booster,Contact Center,2,0,0.0,0.0,0.0
2025-11,CMP002,Debt Consolidation Loan,Display,1,1,57.5,1.0,7.67
2025-04,CMP002,Debt Consolidation Loan,Email,1,0,0.0,0.0,0.0
2026-06,CMP004,Card Rewards Upgrade,Display,3,1,95.05,0.3333,4.22
2025-09,CMP001,Savings Rate Booster,Paid Search,3,2,62.52,0.6667,2.78
2025-02,CMP004,Card Rewards Upgrade,Paid Search,3,2,147.37,0.6667,6.55
2025-12,CMP004,Card Rewards Upgrade,Display,1,0,0.0,0.0,0.0
2025-06,CMP003,Invest Starter,In App,2,2,262.93,1.0,17.53
2025-03,CMP001,Savings Rate Booster,Contact Center,1,0,0.0,0.0,0.0
2025-04,CMP002,Debt Consolidation Loan,In App,3,1,164.35,0.3333,7.3
2026-06,CMP002,Debt Consolidation Loan,Paid Search,2,1,185.14,0.5,12.34
2025-11,CMP001,Savings Rate Booster,Contact Center,2,0,0.0,0.0,0.0
2025-06,CMP002,Debt Consolidation Loan,Paid Search,2,2,399.65,1.0,26.64
2026-07,CMP002,Debt Consolidation Loan,Paid Search,2,1,51.83,0.5,3.46
2025-04,CMP005,CD Maturity Winback,Paid Search,2,0,0.0,0.0,0.0
2025-12,CMP005,CD Maturity Winback,In App,2,0,0.0,0.0,0.0
2025-08,CMP003,Invest Starter,Contact Center,2,0,0.0,0.0,0.0
2025-11,CMP003,Invest Starter,In App,1,0,0.0,0.0,0.0
2026-08,CMP003,Invest Starter,Display,2,1,198.71,0.5,13.25
2025-08,CMP005,CD Maturity Winback,Email,3,0,0.0,0.0,0.0
2026-05,CMP001,Savings Rate Booster,In App,3,0,0.0,0.0,0.0
2025-09,CMP003,Invest Starter,Contact Center,3,0,0.0,0.0,0.0
2026-03,CMP002,Debt Consolidation Loan,Display,2,0,0.0,0.0,0.0
2025-11,CMP004,Card Rewards Upgrade,Display,1,0,0.0,0.0,0.0
2025-09,CMP003,Invest Starter,In App,2,1,83.93,0.5,5.6
2025-11,CMP005,CD Maturity Winback,Email,2,2,519.84,1.0,34.66
2025-08,CMP003,Invest Starter,Display,2,0,0.0,0.0,0.0
2026-04,CMP003,Invest Starter,Paid Search,1,0,0.0,0.0,0.0
2026-06,CMP001,Savings Rate Booster,In App,2,0,0.0,0.0,0.0
2025-01,CMP001,Savings Rate Booster,Paid Search,3,2,225.96,0.6667,10.04
2025-03,CMP002,Debt Consolidation Loan,Paid Search,1,0,0.0,0.0,0.0
2026-07,CMP001,Savings Rate Booster,In App,3,1,60.77,0.3333,2.7
2025-05,CMP001,Savings Rate Booster,Display,3,0,0.0,0.0,0.0
2025-05,CMP002,Debt Consolidation Loan,Display,2,1,241.58,0.5,16.11
2025-10,CMP002,Debt Consolidation Loan,Contact Center,2,0,0.0,0.0,0.0
2025-04,CMP002,Debt Consolidation Loan,Contact Center,2,0,0.0,0.0,0.0
2026-02,CMP001,Savings Rate Booster,Email,4,2,216.05,0.5,7.2
2026-02,CMP001,Savings Rate Booster,Contact Center,2,1,331.66,0.5,22.11
2025-09,CMP001,Savings Rate Booster,Display,3,0,0.0,0.0,0.0
2026-03,CMP002,Debt Consolidation Loan,Paid Search,3,0,0.0,0.0,0.0
2025-04,CMP005,CD Maturity Winback,Contact Center,3,0,0.0,0.0,0.0
2025-03,CMP003,Invest Starter,In App,2,0,0.0,0.0,0.0
2025-02,CMP005,CD Maturity Winback,Contact Center,4,3,1052.45,0.75,35.08
2026-07,CMP002,Debt Consolidation Loan,In App,2,0,0.0,0.0,0.0
2026-07,CMP001,Savings Rate Booster,Email,2,0,0.0,0.0,0.0
2025-09,CMP005,CD Maturity Winback,Email,2,0,0.0,0.0,0.0
2025-11,CMP001,Savings Rate Booster,Email,1,1,124.21,1.0,16.56
2025-03,CMP004,Card Rewards Upgrade,Email,1,0,0.0,0.0,0.0
2025-04,CMP002,Debt Consolidation Loan,Display,3,0,0.0,0.0,0.0
2025-04,CMP005,CD Maturity Winback,Email,3,0,0.0,0.0,0.0
2025-11,CMP005,CD Maturity Winback,In App,3,0,0.0,0.0,0.0
2026-03,CMP005,CD Maturity Winback,Contact Center,2,0,0.0,0.0,0.0
2026-09,CMP004,Card Rewards Upgrade,In App,2,0,0.0,0.0,0.0
2026-02,CMP004,Card Rewards Upgrade,Display,1,0,0.0,0.0,0.0
2026-04,CMP001,Savings Rate Booster,Contact Center,2,0,0.0,0.0,0.0
2025-10,CMP004,Card Rewards Upgrade,Contact Center,3,1,71.11,0.3333,3.16
2025-09,CMP003,Invest Starter,Email,1,0,0.0,0.0,0.0
2025-02,CMP001,Savings Rate Booster,Display,1,1,58.83,1.0,7.84
2026-01,CMP002,Debt Consolidation Loan,In App,1,0,0.0,0.0,0.0
2025-04,CMP003,Invest Starter,Contact Center,2,0,0.0,0.0,0.0
2025-06,CMP003,Invest Starter,Contact Center,2,2,220.66,1.0,14.71
2025-06,CMP004,Card Rewards Upgrade,Display,4,1,368.51,0.25,12.28
2026-04,CMP005,CD Maturity Winback,Email,3,1,453.58,0.3333,20.16
2025-04,CMP003,Invest Starter,Paid Search,1,0,0.0,0.0,0.0
2026-06,CMP002,Debt Consolidation Loan,Email,1,0,0.0,0.0,0.0
2026-01,CMP003,Invest Starter,Contact Center,1,0,0.0,0.0,0.0
2025-05,CMP003,Invest Starter,Contact Center,3,0,0.0,0.0,0.0
2025-02,CMP002,Debt Consolidation Loan,Contact Center,2,1,172.69,0.5,11.51
2025-01,CMP005,CD Maturity Winback,Display,6,0,0.0,0.0,0.0
2025-02,CMP005,CD Maturity Winback,Display,2,1,159.49,0.5,10.63
2025-12,CMP001,Savings Rate Booster,Paid Search,3,0,0.0,0.0,0.0
2025-10,CMP004,Card Rewards Upgrade,Email,1,0,0.0,0.0,0.0
2026-07,CMP004,Card Rewards Upgrade,Contact Center,1,1,101.67,1.0,13.56
2025-08,CMP002,Debt Consolidation Loan,Contact Center,3,1,158.01,0.3333,7.02
2025-01,CMP003,Invest Starter,Paid Search,2,0,0.0,0.0,0.0
2025-09,CMP002,Debt Consolidation Loan,Contact Center,1,1,53.44,1.0,7.13
2025-03,CMP001,Savings Rate Booster,Paid Search,3,1,50.4,0.3333,2.24
2025-12,CMP001,Savings Rate Booster,In App,2,0,0.0,0.0,0.0
2025-01,CMP005,CD Maturity Winback,In App,3,0,0.0,0.0,0.0
2026-09,CMP003,Invest Starter,Paid Search,1,0,0.0,0.0,0.0
2025-07,CMP004,Card Rewards Upgrade,Contact Center,2,0,0.0,0.0,0.0
2025-07,CMP005,CD Maturity Winback,Display,1,0,0.0,0.0,0.0
2026-02,CMP005,CD Maturity Winback,Paid Search,1,0,0.0,0.0,0.0
2026-08,CMP001,Savings Rate Booster,Paid Search,2,1,320.92,0.5,21.39
2026-09,CMP002,Debt Consolidation Loan,Contact Center,4,1,199.0,0.25,6.63
2025-03,CMP001,Savings Rate Booster,Email,1,1,224.04,1.0,29.87
2025-12,CMP002,Debt Consolidation Loan,Display,2,0,0.0,0.0,0.0
2025-10,CMP002,Debt Consolidation Loan,Display,1,0,0.0,0.0,0.0
2025-08,CMP002,Debt Consolidation Loan,In App,2,1,172.98,0.5,11.53
2025-10,CMP001,Savings Rate Booster,Display,1,0,0.0,0.0,0.0
2026-08,CMP002,Debt Consolidation Loan,Display,2,1,97.36,0.5,6.49
2025-09,CMP002,Debt Consolidation Loan,In App,4,2,202.56,0.5,6.75
2026-03,CMP005,CD Maturity Winback,In App,1,1,82.14,1.0,10.95
2026-06,CMP003,Invest Starter,Paid Search,3,0,0.0,0.0,0.0
2025-02,CMP002,Debt Consolidation Loan,Paid Search,3,2,303.8,0.6667,13.5
2025-09,CMP002,Debt Consolidation Loan,Email,4,1,165.67,0.25,5.52
2025-08,CMP004,Card Rewards Upgrade,Contact Center,1,1,164.98,1.0,22.0
2025-03,CMP003,Invest Starter,Display,1,0,0.0,0.0,0.0
2025-12,CMP004,Card Rewards Upgrade,In App,1,1,119.55,1.0,15.94
2025-09,CMP003,Invest Starter,Display,2,0,0.0,0.0,0.0
2026-01,CMP003,Invest Starter,In App,5,0,0.0,0.0,0.0
2026-06,CMP005,CD Maturity Winback,In App,1,0,0.0,0.0,0.0
2026-02,CMP001,Savings Rate Booster,Display,2,0,0.0,0.0,0.0
2025-12,CMP004,Card Rewards Upgrade,Paid Search,2,0,0.0,0.0,0.0
2025-08,CMP002,Debt Consolidation Loan,Email,1,0,0.0,0.0,0.0
2025-07,CMP002,Debt Consolidation Loan,In App,1,0,0.0,0.0,0.0
2025-05,CMP005,CD Maturity Winback,Contact Center,2,0,0.0,0.0,0.0
2025-10,CMP002,Debt Consolidation Loan,Paid Search,1,0,0.0,0.0,0.0
2025-06,CMP002,Debt Consolidation Loan,Contact Center,1,0,0.0,0.0,0.0
2026-02,CMP003,Invest Starter,In App,3,0,0.0,0.0,0.0
2026-02,CMP004,Card Rewards Upgrade,Paid Search,3,1,47.86,0.3333,2.13
2025-01,CMP004,Card Rewards Upgrade,Paid Search,3,1,211.03,0.3333,9.38
2026-06,CMP001,Savings Rate Booster,Display,2,1,531.68,0.5,35.45
2025-09,CMP004,Card Rewards Upgrade,Contact Center,1,0,0.0,0.0,0.0
2026-06,CMP004,Card Rewards Upgrade,Contact Center,2,1,299.81,0.5,19.99
2025-01,CMP001,Savings Rate Booster,Display,1,1,488.08,1.0,65.08
2025-12,CMP001,Savings Rate Booster,Contact Center,2,1,318.51,0.5,21.23
2025-09,CMP001,Savings Rate Booster,In App,2,2,275.37,1.0,18.36
2025-08,CMP003,Invest Starter,Paid Search,1,0,0.0,0.0,0.0
2025-04,CMP001,Savings Rate Booster,In App,1,1,125.0,1.0,16.67
2026-08,CMP004,Card Rewards Upgrade,Contact Center,1,0,0.0,0.0,0.0
2026-07,CMP003,Invest Starter,Display,3,3,349.74,1.0,15.54
2026-01,CMP002,Debt Consolidation Loan,Paid Search,1,0,0.0,0.0,0.0
2026-08,CMP005,CD Maturity Winback,Contact Center,1,0,0.0,0.0,0.0
2026-02,CMP003,Invest Starter,Paid Search,1,0,0.0,0.0,0.0
2025-10,CMP003,Invest Starter,In App,1,0,0.0,0.0,0.0
2026-01,CMP002,Debt Consolidation Loan,Contact Center,1,0,0.0,0.0,0.0
2025-03,CMP003,Invest Starter,Email,2,0,0.0,0.0,0.0
2026-04,CMP004,Card Rewards Upgrade,Email,1,0,0.0,0.0,0.0
2025-05,CMP005,CD Maturity Winback,In App,3,0,0.0,0.0,0.0
2025-01,CMP004,Card Rewards Upgrade,Email,1,0,0.0,0.0,0.0
2025-03,CMP004,Card Rewards Upgrade,Paid Search,1,1,98.15,1.0,13.09
2026-09,CMP001,Savings Rate Booster,In App,2,0,0.0,0.0,0.0
2026-05,CMP005,CD Maturity Winback,Contact Center,1,1,166.1,1.0,22.15
2026-09,CMP003,Invest Starter,In App,3,0,0.0,0.0,0.0
2025-10,CMP002,Debt Consolidation Loan,Email,2,0,0.0,0.0,0.0
2026-01,CMP005,CD Maturity Winback,Display,2,1,119.34,0.5,7.96
2026-08,CMP004,Card Rewards Upgrade,Email,1,1,160.73,1.0,21.43
2025-08,CMP005,CD Maturity Winback,In App,2,0,0.0,0.0,0.0
2026-05,CMP002,Debt Consolidation Loan,Display,1,0,0.0,0.0,0.0
2025-02,CMP001,Savings Rate Booster,Paid Search,1,0,0.0,0.0,0.0
2025-05,CMP002,Debt Consolidation Loan,Email,2,0,0.0,0.0,0.0
2026-03,CMP003,Invest Starter,Paid Search,1,0,0.0,0.0,0.0
2025-07,CMP005,CD Maturity Winback,Email,1,0,0.0,0.0,0.0
2025-02,CMP001,Savings Rate Booster,Contact Center,2,0,0.0,0.0,0.0
2025-03,CMP005,CD Maturity Winback,Contact Center,2,0,0.0,0.0,0.0
2025-08,CMP002,Debt Consolidation Loan,Display,2,0,0.0,0.0,0.0
2026-09,CMP003,Invest Starter,Contact Center,2,0,0.0,0.0,0.0
2025-04,CMP004,Card Rewards Upgrade,In App,3,0,0.0,0.0,0.0
