sales_month,region,segment,product_id,channel_id,applications,funded_sales,sales_amount,estimated_revenue,new_customer_sales,conversion_rate
2026-02,West,Rate Shopper,P005,C003,1,1,3360.19,137.77,1,1.0
2026-09,Midwest,Borrower,P004,C003,1,1,24682.69,197.46,0,1.0
2025-07,Southeast,Rate Shopper,P005,C001,1,1,4098.14,168.02,0,1.0
2025-01,Midwest,Rate Shopper,P001,C002,2,2,32784.23,196.71,0,1.0
2026-04,West,Borrower,P004,C003,1,1,21359.98,170.88,0,1.0
2025-03,Southwest,Digital Native,P003,C004,1,1,13282.06,425.03,1,1.0
2025-05,Midwest,Emerging Affluent,P004,C001,1,1,34039.98,272.32,0,1.0
2026-04,West,Emerging Affluent,P001,C002,2,0,0.0,0.0,0,0.0
2025-11,Southwest,Borrower,P004,C003,1,0,0.0,0.0,0,0.0
2025-07,Northeast,Emerging Affluent,P004,C003,1,1,32435.95,259.49,1,1.0
2026-03,West,Mass Affluent,P001,C002,2,2,36168.16,217.01,1,1.0
2026-05,Northeast,Rate Shopper,P001,C005,2,1,21402.66,128.42,1,0.5
2025-04,Midwest,Mass Affluent,P002,C004,1,0,0.0,0.0,0,0.0
2026-07,Southeast,Mass Affluent,P003,C002,1,0,0.0,0.0,0,0.0
2026-03,West,Emerging Affluent,P005,C003,1,1,3175.47,130.19,0,1.0
2026-03,West,Rate Shopper,P001,C004,1,1,16698.35,100.19,0,1.0
2026-07,Southwest,Mass Affluent,P005,C002,1,1,2152.76,88.26,0,1.0
2026-04,Midwest,Digital Native,P005,C002,1,1,4686.8,192.16,1,1.0
2026-01,Northeast,Borrower,P001,C005,1,1,16662.49,99.97,0,1.0
2026-02,Southwest,Digital Native,P001,C005,1,1,5019.96,30.12,0,1.0
2026-02,West,Rate Shopper,P003,C003,1,1,12945.55,414.26,1,1.0
2025-04,Midwest,Emerging Affluent,P001,C002,1,1,15640.28,93.84,1,1.0
2026-08,Southeast,Rate Shopper,P004,C005,1,1,21725.61,173.8,1,1.0
2026-04,Southeast,Borrower,P004,C001,1,0,0.0,0.0,0,0.0
2026-09,West,Borrower,P003,C001,1,1,14354.94,459.36,0,1.0
2025-04,Southeast,Digital Native,P005,C001,1,0,0.0,0.0,0,0.0
2026-08,West,Rate Shopper,P005,C002,1,0,0.0,0.0,0,0.0
2026-04,West,Rate Shopper,P005,C003,1,0,0.0,0.0,0,0.0
2026-02,West,Mass Affluent,P002,C005,2,1,13171.67,52.69,0,0.5
2025-11,Southeast,Emerging Affluent,P003,C005,1,0,0.0,0.0,0,0.0
2025-09,West,Emerging Affluent,P003,C005,1,0,0.0,0.0,0,0.0
2026-02,Northeast,Borrower,P004,C004,1,1,19935.51,159.48,1,1.0
2025-05,Southwest,Mass Affluent,P001,C005,1,1,23336.02,140.02,1,1.0
2026-06,Southeast,Emerging Affluent,P003,C005,1,1,14321.97,458.3,0,1.0
2025-12,West,Emerging Affluent,P001,C004,1,0,0.0,0.0,0,0.0
2026-08,West,Digital Native,P003,C001,1,1,17809.17,569.89,0,1.0
2025-06,Southwest,Emerging Affluent,P003,C004,1,0,0.0,0.0,0,0.0
2026-08,Midwest,Borrower,P003,C001,1,1,15299.81,489.59,0,1.0
2025-05,Southwest,Rate Shopper,P004,C004,1,1,25774.4,206.2,0,1.0
2025-11,Northeast,Borrower,P004,C001,1,1,17969.85,143.76,0,1.0
2025-06,Southeast,Borrower,P005,C002,1,1,4925.72,201.95,0,1.0
2026-02,Southeast,Emerging Affluent,P004,C003,1,1,25897.85,207.18,0,1.0
2026-02,Southeast,Rate Shopper,P001,C005,1,1,17499.28,105.0,0,1.0
2026-05,Southwest,Borrower,P005,C002,2,2,6833.2,280.16,0,1.0
2026-03,Midwest,Borrower,P001,C003,1,1,11632.02,69.79,0,1.0
2025-11,Midwest,Mass Affluent,P003,C002,1,1,24821.09,794.27,0,1.0
2026-03,Southwest,Borrower,P003,C005,1,0,0.0,0.0,0,0.0
2025-02,Midwest,Digital Native,P001,C001,1,1,13254.53,79.53,0,1.0
2025-12,Northeast,Digital Native,P003,C001,1,1,13647.44,436.72,1,1.0
2025-07,West,Emerging Affluent,P005,C002,1,1,2689.55,110.27,0,1.0
2026-01,Southeast,Borrower,P002,C001,1,1,14906.4,59.63,1,1.0
2025-02,West,Digital Native,P005,C003,1,1,2376.41,97.43,0,1.0
2025-04,Southeast,Rate Shopper,P003,C003,1,1,24628.67,788.12,1,1.0
2026-05,Midwest,Emerging Affluent,P001,C003,1,0,0.0,0.0,0,0.0
2026-07,Northeast,Emerging Affluent,P005,C004,1,1,3408.9,139.76,0,1.0
2025-01,Northeast,Emerging Affluent,P004,C002,2,2,41131.99,329.06,0,1.0
2025-03,Southeast,Emerging Affluent,P005,C003,2,1,4268.04,174.99,0,0.5
2025-08,West,Mass Affluent,P005,C003,1,1,1565.3,64.18,0,1.0
2026-09,Midwest,Digital Native,P004,C005,1,1,30172.63,241.38,0,1.0
2025-12,Southwest,Borrower,P003,C005,1,1,8955.62,286.58,1,1.0
2025-05,West,Mass Affluent,P005,C002,2,2,5956.69,244.22,1,1.0
2025-11,Southeast,Borrower,P005,C002,3,2,7776.66,318.84,0,0.6667
2025-01,West,Mass Affluent,P003,C002,1,1,15512.2,496.39,0,1.0
2025-07,Southeast,Emerging Affluent,P003,C002,1,1,4095.7,131.06,1,1.0
2025-08,West,Rate Shopper,P005,C005,2,2,5104.97,209.3,2,1.0
2026-04,Southwest,Mass Affluent,P005,C005,1,0,0.0,0.0,0,0.0
2025-06,Southwest,Borrower,P004,C002,1,0,0.0,0.0,0,0.0
2025-07,West,Emerging Affluent,P004,C002,1,0,0.0,0.0,0,0.0
2025-11,Northeast,Mass Affluent,P005,C004,1,1,4768.03,195.49,0,1.0
2026-09,Southeast,Digital Native,P003,C004,1,0,0.0,0.0,0,0.0
2026-04,West,Borrower,P001,C004,1,0,0.0,0.0,0,0.0
2026-02,Northeast,Mass Affluent,P001,C005,1,1,16358.08,98.15,0,1.0
2026-02,Southwest,Mass Affluent,P003,C004,1,1,21040.35,673.29,1,1.0
2025-05,West,Rate Shopper,P001,C005,1,1,10787.29,64.72,0,1.0
2025-07,Southwest,Rate Shopper,P005,C001,1,1,3674.0,150.63,1,1.0
2025-07,Southwest,Digital Native,P004,C001,2,2,29454.89,235.64,1,1.0
2025-09,West,Emerging Affluent,P004,C001,1,0,0.0,0.0,0,0.0
2026-01,West,Digital Native,P001,C004,1,1,26141.98,156.85,0,1.0
2025-02,Northeast,Emerging Affluent,P005,C004,1,1,3482.86,142.8,0,1.0
2025-02,Southeast,Rate Shopper,P002,C002,1,1,6290.03,25.16,0,1.0
2025-05,Southeast,Borrower,P002,C001,1,0,0.0,0.0,0,0.0
2026-02,Northeast,Emerging Affluent,P004,C004,1,1,12247.57,97.98,0,1.0
2025-02,Midwest,Mass Affluent,P005,C002,1,1,3742.39,153.44,1,1.0
2026-08,Southeast,Emerging Affluent,P002,C001,2,1,16816.94,67.27,0,0.5
2026-09,Midwest,Emerging Affluent,P002,C003,1,1,20229.4,80.92,0,1.0
2026-01,Southwest,Digital Native,P004,C005,1,1,25093.94,200.75,0,1.0
2026-07,Southeast,Mass Affluent,P001,C004,1,1,16837.44,101.02,0,1.0
2026-06,Northeast,Emerging Affluent,P003,C003,1,1,11515.84,368.51,1,1.0
2026-03,Southeast,Borrower,P005,C003,1,1,3596.45,147.45,0,1.0
2026-07,Southeast,Emerging Affluent,P002,C005,1,1,11729.26,46.92,0,1.0
2025-01,Midwest,Rate Shopper,P003,C002,1,1,14685.69,469.94,0,1.0
2026-03,West,Emerging Affluent,P002,C005,1,1,19695.22,78.78,0,1.0
2025-09,Southeast,Digital Native,P002,C003,1,0,0.0,0.0,0,0.0
2025-12,West,Rate Shopper,P001,C001,1,1,12507.49,75.04,1,1.0
2026-05,Southwest,Mass Affluent,P003,C003,1,0,0.0,0.0,0,0.0
2026-07,Southwest,Borrower,P002,C004,1,0,0.0,0.0,0,0.0
2026-08,Midwest,Mass Affluent,P005,C003,2,1,3718.05,152.44,1,0.5
2025-12,West,Rate Shopper,P005,C003,2,1,631.28,25.88,0,0.5
2026-08,Midwest,Borrower,P005,C002,1,1,3457.4,141.75,1,1.0
2025-02,Northeast,Mass Affluent,P003,C003,1,0,0.0,0.0,0,0.0
2025-06,West,Mass Affluent,P005,C003,1,1,3672.93,150.59,0,1.0
2026-06,Northeast,Borrower,P001,C004,1,1,25144.41,150.87,1,1.0
2025-12,West,Mass Affluent,P005,C003,3,3,10109.65,414.5,0,1.0
2026-02,Midwest,Digital Native,P001,C004,1,1,16267.32,97.6,0,1.0
2025-04,Southeast,Emerging Affluent,P004,C001,2,2,24381.84,195.06,0,1.0
2025-08,Southeast,Emerging Affluent,P005,C003,1,1,2884.46,118.26,0,1.0
2025-06,Midwest,Emerging Affluent,P001,C003,1,1,21718.4,130.31,1,1.0
2026-07,Midwest,Digital Native,P005,C003,1,0,0.0,0.0,0,0.0
2026-09,Southwest,Digital Native,P001,C003,1,0,0.0,0.0,0,0.0
2025-02,Midwest,Rate Shopper,P001,C004,1,1,19648.02,117.89,1,1.0
2025-12,Southeast,Rate Shopper,P003,C003,1,0,0.0,0.0,0,0.0
2025-05,West,Mass Affluent,P004,C005,1,1,33568.85,268.55,1,1.0
2025-08,Northeast,Emerging Affluent,P004,C004,1,0,0.0,0.0,0,0.0
2025-07,Northeast,Borrower,P003,C004,1,0,0.0,0.0,0,0.0
2026-05,Midwest,Rate Shopper,P001,C001,1,1,9143.54,54.86,0,1.0
2026-08,Northeast,Emerging Affluent,P003,C005,1,0,0.0,0.0,0,0.0
2026-06,Southwest,Digital Native,P001,C003,1,1,20107.36,120.64,0,1.0
2025-06,Midwest,Mass Affluent,P002,C005,2,2,81002.59,324.01,0,1.0
2025-12,Midwest,Borrower,P004,C005,2,2,37143.11,297.14,2,1.0
2025-04,West,Emerging Affluent,P005,C004,1,1,2154.82,88.35,0,1.0
2026-09,Midwest,Emerging Affluent,P004,C001,1,1,17301.66,138.41,0,1.0
2025-04,Southeast,Borrower,P004,C001,1,1,22851.11,182.81,0,1.0
2026-04,Midwest,Mass Affluent,P002,C002,1,1,32061.8,128.25,0,1.0
2025-11,Northeast,Mass Affluent,P002,C003,1,1,8110.31,32.44,0,1.0
2026-08,Southwest,Rate Shopper,P003,C001,1,1,9704.84,310.55,0,1.0
2025-03,Southeast,Emerging Affluent,P002,C003,1,1,18880.18,75.52,0,1.0
2025-08,Southeast,Mass Affluent,P003,C001,1,1,19189.29,614.06,0,1.0
2026-01,Northeast,Mass Affluent,P004,C004,1,1,17129.53,137.04,1,1.0
2025-06,West,Borrower,P003,C004,1,1,15884.58,508.31,0,1.0
2025-01,Southwest,Mass Affluent,P001,C001,1,1,26094.18,156.57,0,1.0
2026-04,Midwest,Emerging Affluent,P002,C004,1,0,0.0,0.0,0,0.0
2026-06,Northeast,Borrower,P002,C004,1,1,11448.97,45.8,1,1.0
2026-05,Midwest,Mass Affluent,P001,C005,1,0,0.0,0.0,0,0.0
2026-01,West,Mass Affluent,P005,C005,3,3,11507.37,471.81,1,1.0
2026-06,Southeast,Borrower,P001,C002,2,0,0.0,0.0,0,0.0
2026-06,Northeast,Emerging Affluent,P005,C001,1,1,3571.23,146.42,0,1.0
2025-11,Northeast,Emerging Affluent,P005,C005,1,1,2892.56,118.59,0,1.0
2026-04,Southeast,Mass Affluent,P004,C005,1,1,15822.31,126.58,0,1.0
2026-09,Southwest,Digital Native,P002,C001,1,0,0.0,0.0,0,0.0
2025-06,Southwest,Mass Affluent,P004,C005,1,1,11904.98,95.24,0,1.0
2025-05,Southwest,Digital Native,P004,C001,2,2,34130.19,273.04,0,1.0
2025-10,Northeast,Emerging Affluent,P002,C005,1,0,0.0,0.0,0,0.0
2025-06,Southwest,Borrower,P004,C003,1,1,27860.16,222.88,0,1.0
2025-12,Southwest,Digital Native,P005,C001,1,1,6115.28,250.73,0,1.0
2025-09,Southeast,Rate Shopper,P004,C004,1,1,19987.4,159.9,0,1.0
2025-02,Southwest,Emerging Affluent,P005,C003,1,1,2022.48,82.92,1,1.0
2026-06,West,Rate Shopper,P003,C004,2,1,7860.48,251.54,0,0.5
2026-06,Southwest,Borrower,P003,C002,1,0,0.0,0.0,0,0.0
2025-04,Southeast,Borrower,P005,C001,1,0,0.0,0.0,0,0.0
2025-10,West,Mass Affluent,P003,C003,1,1,14252.63,456.08,0,1.0
2026-06,West,Mass Affluent,P005,C002,1,1,3706.51,151.97,0,1.0
2025-01,Southwest,Mass Affluent,P005,C001,2,2,6289.12,257.86,1,1.0
2025-09,West,Borrower,P002,C003,1,1,25722.88,102.89,1,1.0
2026-09,West,Borrower,P005,C002,1,1,2063.46,84.6,0,1.0
2025-04,West,Rate Shopper,P005,C002,1,1,1859.38,76.23,1,1.0
2025-10,Southwest,Digital Native,P001,C004,2,1,19173.52,115.04,0,0.5
2025-03,Midwest,Mass Affluent,P001,C003,1,1,8399.88,50.4,0,1.0
2026-03,Midwest,Emerging Affluent,P003,C002,1,1,27320.31,874.25,0,1.0
2026-03,Northeast,Mass Affluent,P002,C005,1,1,38123.45,152.49,0,1.0
2025-02,Southeast,Mass Affluent,P003,C001,1,1,20424.42,653.58,0,1.0
2026-02,West,Digital Native,P001,C001,1,1,21626.98,129.76,0,1.0
2026-01,Southwest,Digital Native,P002,C001,3,2,44825.57,179.3,1,0.6667
2026-01,Southwest,Rate Shopper,P005,C005,1,1,2723.8,111.68,0,1.0
2025-03,Midwest,Mass Affluent,P005,C003,2,0,0.0,0.0,0,0.0
2026-07,Southwest,Mass Affluent,P002,C002,1,1,36022.31,144.09,0,1.0
2025-03,Midwest,Rate Shopper,P003,C004,1,0,0.0,0.0,0,0.0
2025-01,Midwest,Borrower,P001,C002,1,1,16403.64,98.42,1,1.0
2025-01,Midwest,Borrower,P005,C004,1,1,1725.42,70.74,1,1.0
2026-06,Southwest,Borrower,P001,C002,1,0,0.0,0.0,0,0.0
2025-05,West,Emerging Affluent,P001,C001,1,1,20452.87,122.72,1,1.0
2025-06,Midwest,Borrower,P002,C001,2,1,37089.14,148.36,0,0.5
2025-04,Midwest,Mass Affluent,P005,C001,1,1,1402.32,57.5,0,1.0
2025-12,West,Borrower,P002,C004,1,1,37111.91,148.45,0,1.0
2026-08,Southwest,Digital Native,P002,C001,1,1,2156.55,8.63,1,1.0
2026-01,Southwest,Mass Affluent,P004,C002,1,0,0.0,0.0,0,0.0
2025-06,Northeast,Rate Shopper,P005,C004,1,1,2803.64,114.95,0,1.0
2026-08,Northeast,Emerging Affluent,P002,C001,1,0,0.0,0.0,0,0.0
2026-06,Midwest,Digital Native,P002,C003,1,1,20605.03,82.42,1,1.0
2025-07,West,Mass Affluent,P001,C005,1,1,16225.84,97.36,0,1.0
2026-07,Southwest,Rate Shopper,P004,C001,2,1,11627.98,93.02,1,0.5
2026-06,Midwest,Borrower,P003,C005,1,1,16170.05,517.44,1,1.0
2026-05,Southwest,Borrower,P002,C004,1,1,42908.44,171.63,0,1.0
2025-08,Southwest,Emerging Affluent,P003,C003,1,0,0.0,0.0,0,0.0
2025-06,Midwest,Emerging Affluent,P001,C005,1,1,20267.88,121.61,1,1.0
2026-08,Midwest,Mass Affluent,P002,C004,2,1,28585.25,114.34,0,0.5
2025-08,Northeast,Borrower,P001,C003,1,1,14845.41,89.07,0,1.0
2026-04,West,Rate Shopper,P002,C001,1,1,24281.9,97.13,1,1.0
2025-05,Midwest,Emerging Affluent,P004,C003,2,1,20688.47,165.51,1,0.5
2025-12,West,Emerging Affluent,P003,C002,1,1,19931.89,637.82,1,1.0
2025-12,Southwest,Rate Shopper,P004,C002,1,1,30473.8,243.79,0,1.0
2026-08,Midwest,Rate Shopper,P005,C002,1,1,5362.41,219.86,0,1.0
2026-04,West,Mass Affluent,P002,C005,1,0,0.0,0.0,0,0.0
2025-12,Northeast,Mass Affluent,P002,C002,2,0,0.0,0.0,0,0.0
2026-04,Southwest,Mass Affluent,P001,C001,1,0,0.0,0.0,0,0.0
2025-04,Northeast,Mass Affluent,P004,C004,1,1,16541.5,132.33,1,1.0
2026-01,West,Emerging Affluent,P002,C002,1,1,29063.61,116.25,0,1.0
2025-06,West,Emerging Affluent,P004,C003,1,0,0.0,0.0,0,0.0
2025-07,Midwest,Borrower,P002,C004,1,0,0.0,0.0,0,0.0
2026-01,Midwest,Emerging Affluent,P001,C001,1,1,22444.82,134.67,0,1.0
2026-08,Northeast,Rate Shopper,P005,C005,1,0,0.0,0.0,0,0.0
2026-06,Midwest,Mass Affluent,P003,C001,1,0,0.0,0.0,0,0.0
2026-01,Northeast,Emerging Affluent,P005,C001,1,1,2634.66,108.02,0,1.0
2025-12,Northeast,Borrower,P002,C002,1,1,27331.11,109.32,0,1.0
2025-12,Southeast,Rate Shopper,P002,C003,1,0,0.0,0.0,0,0.0
2026-01,Southwest,Digital Native,P001,C001,1,1,13904.63,83.43,1,1.0
2025-10,Northeast,Digital Native,P004,C002,2,2,46135.18,369.08,1,1.0
2026-06,Southwest,Rate Shopper,P002,C002,1,0,0.0,0.0,0,0.0
2025-12,Southeast,Emerging Affluent,P002,C005,2,2,70482.88,281.93,1,1.0
2026-07,Northeast,Rate Shopper,P005,C005,1,1,2302.18,94.39,0,1.0
2026-05,Midwest,Rate Shopper,P003,C002,1,1,15957.26,510.63,0,1.0
2026-04,Southwest,Digital Native,P003,C003,1,1,21281.71,681.01,0,1.0
2025-06,West,Mass Affluent,P002,C002,1,1,23435.44,93.74,1,1.0
2025-09,Northeast,Rate Shopper,P002,C004,1,0,0.0,0.0,0,0.0
2026-07,Southwest,Digital Native,P003,C004,1,0,0.0,0.0,0,0.0
2026-05,Midwest,Emerging Affluent,P001,C004,1,0,0.0,0.0,0,0.0
2025-10,Southwest,Mass Affluent,P003,C004,1,0,0.0,0.0,0,0.0
2025-12,West,Mass Affluent,P005,C004,1,0,0.0,0.0,0,0.0
2026-09,Midwest,Emerging Affluent,P001,C004,1,0,0.0,0.0,0,0.0
2025-07,Southeast,Borrower,P001,C005,1,0,0.0,0.0,0,0.0
2025-03,Southeast,Emerging Affluent,P005,C004,1,0,0.0,0.0,0,0.0
2026-06,West,Emerging Affluent,P005,C005,1,1,5495.87,225.33,1,1.0
2025-01,Midwest,Borrower,P004,C003,1,1,16137.7,129.1,0,1.0
2025-08,Southeast,Rate Shopper,P005,C001,1,0,0.0,0.0,0,0.0
2025-05,Southeast,Rate Shopper,P004,C004,1,0,0.0,0.0,0,0.0
2026-03,Northeast,Emerging Affluent,P004,C003,2,2,46947.74,375.58,1,1.0
2025-10,West,Digital Native,P002,C004,1,0,0.0,0.0,0,0.0
2025-08,Midwest,Emerging Affluent,P005,C004,1,1,3090.75,126.72,1,1.0
2025-10,Southwest,Digital Native,P004,C001,1,1,14226.51,113.81,1,1.0
2025-03,West,Rate Shopper,P003,C004,1,1,17437.02,557.98,0,1.0
2026-05,Southwest,Mass Affluent,P004,C003,1,1,36034.6,288.28,0,1.0
2026-08,West,Borrower,P003,C002,1,1,12990.74,415.7,0,1.0
2025-10,Southwest,Emerging Affluent,P002,C001,1,0,0.0,0.0,0,0.0
2025-07,Northeast,Mass Affluent,P001,C005,1,0,0.0,0.0,0,0.0
2025-11,Southeast,Digital Native,P002,C005,1,1,39310.8,157.24,0,1.0
2025-12,Midwest,Borrower,P005,C005,1,0,0.0,0.0,0,0.0
2025-12,West,Digital Native,P004,C004,1,1,26038.15,208.31,0,1.0
2026-06,West,Mass Affluent,P005,C005,1,0,0.0,0.0,0,0.0
2025-04,Southwest,Mass Affluent,P004,C001,2,2,55570.81,444.57,0,1.0
2026-06,Midwest,Borrower,P004,C005,2,1,27411.38,219.29,0,0.5
2025-05,West,Mass Affluent,P001,C002,1,1,20171.27,121.03,1,1.0
2025-03,West,Mass Affluent,P004,C001,3,3,43994.55,351.97,0,1.0
2025-02,Northeast,Emerging Affluent,P002,C001,1,1,30031.46,120.13,1,1.0
2025-01,Southeast,Borrower,P001,C003,1,0,0.0,0.0,0,0.0
2025-12,West,Emerging Affluent,P002,C002,1,0,0.0,0.0,0,0.0
2026-09,Southeast,Rate Shopper,P002,C005,2,2,64266.26,257.07,0,1.0
2026-06,Southeast,Mass Affluent,P005,C001,1,1,3350.37,137.37,0,1.0
2026-06,West,Mass Affluent,P001,C002,1,0,0.0,0.0,0,0.0
2025-12,Southwest,Borrower,P001,C002,2,2,30702.92,184.22,0,1.0
2026-06,Northeast,Rate Shopper,P004,C001,3,3,75751.29,606.01,2,1.0
2025-12,West,Borrower,P001,C001,2,2,18458.65,110.75,0,1.0
2025-10,Midwest,Borrower,P005,C004,2,1,3683.75,151.03,1,0.5
2025-07,Southwest,Emerging Affluent,P004,C003,2,2,46498.21,371.98,0,1.0
2026-02,Southeast,Rate Shopper,P002,C004,1,1,28135.69,112.54,0,1.0
2025-12,Southeast,Digital Native,P003,C002,1,1,17507.79,560.25,1,1.0
2026-08,Southwest,Digital Native,P004,C003,2,2,45828.44,366.63,0,1.0
2026-02,Southwest,Emerging Affluent,P004,C005,1,1,31187.54,249.5,0,1.0
2025-08,Midwest,Borrower,P004,C004,1,1,21278.27,170.23,1,1.0
2026-05,West,Emerging Affluent,P001,C001,1,1,10643.4,63.86,0,1.0
2025-04,Southwest,Digital Native,P005,C005,1,0,0.0,0.0,0,0.0
2025-10,Northeast,Rate Shopper,P004,C002,1,1,17309.99,138.48,0,1.0
2025-05,Northeast,Digital Native,P001,C004,1,1,11773.9,70.64,0,1.0
2025-02,Midwest,Borrower,P004,C001,1,0,0.0,0.0,0,0.0
2025-11,Southwest,Borrower,P004,C002,1,0,0.0,0.0,0,0.0
2026-07,Midwest,Rate Shopper,P004,C005,1,0,0.0,0.0,0,0.0
2026-01,Northeast,Rate Shopper,P004,C005,1,1,18163.56,145.31,0,1.0
2026-08,Southwest,Digital Native,P001,C001,1,1,29519.58,177.12,0,1.0
